Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,D.C. United,34,17,8,9,52,37,15,59
Eastern Conference,2,New England Revolution,34,17,4,13,51,46,5,55
Eastern Conference,3,Columbus Crew,34,14,10,10,52,42,10,52
Eastern Conference,4,Red Bull New York,34,13,11,10,55,50,5,50
Eastern Conference,5,Sporting Kansas City,34,14,7,13,48,41,7,49
Eastern Conference,6,Philadelphia Union,34,10,12,12,51,51,0,42
Eastern Conference,7,Toronto FC,34,11,8,15,44,54,-10,41
Eastern Conference,8,Houston Dynamo FC,34,11,6,17,39,58,-19,39
Eastern Conference,9,Chicago Fire FC,34,6,18,10,41,51,-10,36
Eastern Conference,10,CF Montréal,34,6,10,18,38,58,-20,28
Western Conference,1,Seattle Sounders FC,34,20,4,10,65,50,15,64
Western Conference,2,LA Galaxy,34,17,10,7,69,37,32,61
Western Conference,3,Real Salt Lake,34,15,11,8,54,39,15,56
Western Conference,4,FC Dallas,34,16,6,12,55,45,10,54
Western Conference,5,Vancouver Whitecaps,34,12,14,8,42,40,2,50
Western Conference,6,Portland Timbers,34,12,13,9,61,52,9,49
Western Conference,7,Chivas USA,34,9,6,19,29,61,-32,33
Western Conference,8,Colorado Rapids,34,8,8,18,43,62,-19,32
Western Conference,9,San Jose Earthquakes,34,6,12,16,35,50,-15,30
