Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Inter Miami CF,34,22,8,4,79,49,30,74
Eastern Conference,2,Columbus Crew,34,19,9,6,72,40,32,66
Eastern Conference,3,FC Cincinnati,34,18,5,11,58,48,10,59
Eastern Conference,4,Orlando City SC,34,15,7,12,59,50,9,52
Eastern Conference,5,Charlotte FC,34,14,9,11,46,37,9,51
Eastern Conference,6,New York City FC,34,14,8,12,54,49,5,50
Eastern Conference,7,Red Bull New York,34,11,14,9,55,50,5,47
Eastern Conference,8,CF Montréal,34,11,10,13,48,64,-16,43
Eastern Conference,9,Atlanta United FC,34,10,10,14,46,49,-3,40
Eastern Conference,10,D.C. United,34,10,10,14,52,70,-18,40
Eastern Conference,11,Toronto FC,34,11,4,19,40,61,-21,37
Eastern Conference,12,Philadelphia Union,34,9,10,15,62,55,7,37
Eastern Conference,13,Nashville SC,34,9,9,16,38,54,-16,36
Eastern Conference,14,New England Revolution,34,9,4,21,37,74,-37,31
Eastern Conference,15,Chicago Fire FC,34,7,9,18,40,62,-22,30
Western Conference,1,LAFC,34,19,7,8,63,43,20,64
Western Conference,2,LA Galaxy,34,19,7,8,69,50,19,64
Western Conference,3,Real Salt Lake,34,16,11,7,65,48,17,59
Western Conference,4,Seattle Sounders FC,34,16,9,9,51,35,16,57
Western Conference,5,Houston Dynamo FC,34,15,9,10,47,39,8,54
Western Conference,6,Minnesota United FC,34,15,7,12,58,49,9,52
Western Conference,7,Colorado Rapids,34,15,5,14,61,60,1,50
Western Conference,8,Vancouver Whitecaps,34,13,8,13,52,49,3,47
Western Conference,9,Portland Timbers,34,12,11,11,65,56,9,47
Western Conference,10,Austin FC,34,11,9,14,39,48,-9,42
Western Conference,11,FC Dallas,34,11,8,15,54,56,-2,41
Western Conference,12,St. Louis CITY SC,34,8,13,13,50,63,-13,37
Western Conference,13,Sporting Kansas City,34,8,7,19,51,66,-15,31
Western Conference,14,San Jose Earthquakes,34,6,3,25,41,78,-37,21
