Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Philadelphia Union,34,20,6,8,57,35,22,66
Eastern Conference,2,FC Cincinnati,34,20,5,9,52,40,12,65
Eastern Conference,3,Inter Miami CF,34,19,8,7,81,55,26,65
Eastern Conference,4,Charlotte FC,34,19,2,13,55,46,9,59
Eastern Conference,5,New York City FC,34,17,5,12,50,44,6,56
Eastern Conference,6,Nashville SC,34,16,6,12,58,45,13,54
Eastern Conference,7,Columbus Crew,34,14,12,8,55,51,4,54
Eastern Conference,8,Chicago Fire FC,34,15,8,11,68,60,8,53
Eastern Conference,9,Orlando City SC,34,14,11,9,63,51,12,53
Eastern Conference,10,Red Bull New York,34,12,7,15,48,47,1,43
Eastern Conference,11,New England Revolution,34,9,9,16,44,51,-7,36
Eastern Conference,12,Toronto FC,34,6,14,14,37,44,-7,32
Eastern Conference,13,CF Montréal,34,6,10,18,34,60,-26,28
Eastern Conference,14,Atlanta United FC,34,5,13,16,38,63,-25,28
Eastern Conference,15,D.C. United,34,5,11,18,30,66,-36,26
Western Conference,1,San Diego FC,34,19,6,9,64,41,23,63
Western Conference,2,Vancouver Whitecaps,34,18,9,7,66,38,28,63
Western Conference,3,LAFC,34,17,9,8,65,40,25,60
Western Conference,4,Minnesota United FC,34,16,10,8,56,39,17,58
Western Conference,5,Seattle Sounders FC,34,15,10,9,58,48,10,55
Western Conference,6,Austin FC,34,13,8,13,37,45,-8,47
Western Conference,7,FC Dallas,34,11,11,12,52,55,-3,44
Western Conference,8,Portland Timbers,34,11,11,12,41,48,-7,44
Western Conference,9,Real Salt Lake,34,12,5,17,38,49,-11,41
Western Conference,10,San Jose Earthquakes,34,11,8,15,60,63,-3,41
Western Conference,11,Colorado Rapids,34,11,8,15,44,56,-12,41
Western Conference,12,Houston Dynamo FC,34,9,10,15,43,56,-13,37
Western Conference,13,St. Louis CITY SC,34,8,8,18,44,58,-14,32
Western Conference,14,LA Galaxy,34,7,9,18,46,66,-20,30
Western Conference,15,Sporting Kansas City,34,7,7,20,46,70,-24,28
