Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,FC Cincinnati,34,20,9,5,57,39,18,69
Eastern Conference,2,Orlando City SC,34,18,9,7,55,39,16,63
Eastern Conference,3,Columbus Crew,34,16,9,9,67,46,21,57
Eastern Conference,4,Philadelphia Union,34,15,10,9,57,41,16,55
Eastern Conference,5,New England Revolution,34,15,10,9,58,46,12,55
Eastern Conference,6,Atlanta United FC,34,13,12,9,66,53,13,51
Eastern Conference,7,Nashville SC,34,13,10,11,39,32,7,49
Eastern Conference,8,Red Bull New York,34,11,10,13,36,39,-3,43
Eastern Conference,9,Charlotte FC,34,10,13,11,45,52,-7,43
Eastern Conference,10,CF Montréal,34,12,5,17,36,52,-16,41
Eastern Conference,11,New York City FC,34,9,14,11,35,39,-4,41
Eastern Conference,12,D.C. United,34,10,10,14,45,49,-4,40
Eastern Conference,13,Chicago Fire FC,34,10,10,14,39,51,-12,40
Eastern Conference,14,Inter Miami CF,34,9,7,18,41,54,-13,34
Eastern Conference,15,Toronto FC,34,4,10,20,26,59,-33,22
Western Conference,1,St. Louis CITY SC,34,17,5,12,62,45,17,56
Western Conference,2,Seattle Sounders FC,34,14,11,9,41,32,9,53
Western Conference,3,LAFC,34,14,10,10,54,39,15,52
Western Conference,4,Houston Dynamo FC,34,14,9,11,51,38,13,51
Western Conference,5,Real Salt Lake,34,14,8,12,48,50,-2,50
Western Conference,6,Vancouver Whitecaps,34,12,12,10,55,48,7,48
Western Conference,7,FC Dallas,34,11,13,10,41,37,4,46
Western Conference,8,Sporting Kansas City,34,12,8,14,48,51,-3,44
Western Conference,9,San Jose Earthquakes,34,10,14,10,39,43,-4,44
Western Conference,10,Portland Timbers,34,11,10,13,46,58,-12,43
Western Conference,11,Minnesota United FC,34,10,11,13,46,51,-5,41
Western Conference,12,Austin FC,34,10,9,15,49,55,-6,39
Western Conference,13,LA Galaxy,34,8,12,14,51,67,-16,36
Western Conference,14,Colorado Rapids,34,5,12,17,26,54,-28,27
