Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Columbus Crew,30,12,13,5,40,32,8,49
Eastern Conference,2,D.C. United,30,11,9,10,43,42,1,42
Eastern Conference,3,Red Bull New York,30,11,7,12,47,49,-2,40
Eastern Conference,4,New England Revolution,30,8,9,13,42,43,-1,33
Eastern Conference,5,Chicago Fire FC,30,8,9,13,36,44,-8,33
Western Conference,1,Sporting Kansas City,30,14,7,9,38,30,8,49
Western Conference,2,LA Galaxy,30,11,10,9,42,40,2,43
Western Conference,3,Colorado Rapids,30,10,11,9,29,32,-3,41
Western Conference,4,San Jose Earthquakes,30,9,11,10,41,35,6,38
Western Conference,5,FC Dallas,30,10,6,14,34,45,-11,36
