Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Chicago Fire FC,30,15,8,7,53,43,10,53
Eastern Conference,2,New England Revolution,30,12,9,9,55,47,8,45
Eastern Conference,3,Red Bull New York,30,11,9,10,40,40,0,42
Eastern Conference,4,D.C. United,30,10,9,11,38,36,2,39
Eastern Conference,5,Columbus Crew,30,10,8,12,44,44,0,38
Western Conference,1,San Jose Earthquakes,30,14,9,7,45,35,10,51
Western Conference,2,Sporting Kansas City,30,11,9,10,48,44,4,42
Western Conference,3,Colorado Rapids,30,11,7,12,40,45,-5,40
Western Conference,4,LA Galaxy,30,9,9,12,35,35,0,36
Western Conference,5,FC Dallas,30,6,5,19,35,64,-29,23
