Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,D.C. United,30,16,7,7,56,34,22,55
Eastern Conference,2,New England Revolution,30,14,8,8,51,43,8,50
Eastern Conference,3,Red Bull New York,30,12,7,11,47,45,2,43
Eastern Conference,4,Sporting Kansas City,30,11,7,12,45,45,0,40
Eastern Conference,5,Chicago Fire FC,30,10,10,10,31,36,-5,40
Eastern Conference,6,Columbus Crew,30,9,10,11,39,44,-5,37
Eastern Conference,7,Toronto FC,30,6,7,17,25,49,-24,25
Western Conference,1,Chivas USA,30,15,8,7,46,28,18,53
Western Conference,2,Houston Dynamo FC,30,15,7,8,43,23,20,52
Western Conference,3,FC Dallas,30,13,5,12,37,44,-7,44
Western Conference,4,Colorado Rapids,30,9,8,13,29,34,-5,35
Western Conference,5,LA Galaxy,30,9,7,14,38,48,-10,34
Western Conference,6,Real Salt Lake,30,6,9,15,31,45,-14,27
