Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Red Bull New York,34,16,9,9,61,44,17,57
Eastern Conference,2,New York City FC,34,15,9,10,62,57,5,54
Eastern Conference,3,Toronto FC,34,14,11,9,51,39,12,53
Eastern Conference,4,D.C. United,34,11,13,10,53,47,6,46
Eastern Conference,5,CF Montréal,34,11,12,11,49,53,-4,45
Eastern Conference,6,Philadelphia Union,34,11,9,14,52,55,-3,42
Eastern Conference,7,New England Revolution,34,11,9,14,44,54,-10,42
Eastern Conference,8,Orlando City SC,34,9,14,11,55,60,-5,41
Eastern Conference,9,Columbus Crew,34,8,12,14,50,58,-8,36
Eastern Conference,10,Chicago Fire FC,34,7,10,17,42,58,-16,31
Western Conference,1,FC Dallas,34,17,9,8,50,40,10,60
Western Conference,2,Colorado Rapids,34,15,13,6,39,32,7,58
Western Conference,3,LA Galaxy,34,12,16,6,54,39,15,52
Western Conference,4,Seattle Sounders FC,34,14,6,14,44,43,1,48
Western Conference,5,Sporting Kansas City,34,13,8,13,42,41,1,47
Western Conference,6,Real Salt Lake,34,12,10,12,44,46,-2,46
Western Conference,7,Portland Timbers,34,12,8,14,48,53,-5,44
Western Conference,8,Vancouver Whitecaps,34,10,9,15,45,52,-7,39
Western Conference,9,San Jose Earthquakes,34,8,14,12,32,40,-8,38
Western Conference,10,Houston Dynamo FC,34,7,13,14,39,45,-6,34
