Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Columbus Crew,30,13,10,7,41,31,10,49
Eastern Conference,2,Chicago Fire FC,30,11,12,7,39,34,5,45
Eastern Conference,3,New England Revolution,30,11,9,10,33,37,-4,42
Eastern Conference,4,D.C. United,30,9,13,8,43,44,-1,40
Eastern Conference,5,Toronto FC,30,10,9,11,37,46,-9,39
Eastern Conference,6,Sporting Kansas City,30,8,9,13,33,42,-9,33
Eastern Conference,7,Red Bull New York,30,5,6,19,27,47,-20,21
Western Conference,1,Houston Dynamo FC,30,13,9,8,39,29,10,48
Western Conference,2,LA Galaxy,30,12,12,6,36,31,5,48
Western Conference,3,Seattle Sounders FC,30,12,11,7,38,29,9,47
Western Conference,4,Chivas USA,30,13,6,11,34,31,3,45
Western Conference,5,Real Salt Lake,30,11,7,12,43,35,8,40
Western Conference,6,Colorado Rapids,30,10,10,10,42,38,4,40
Western Conference,7,FC Dallas,30,11,6,13,50,47,3,39
Western Conference,8,San Jose Earthquakes,30,7,9,14,36,50,-14,30
