Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Philadelphia Union,23,14,5,4,44,20,24,47
Eastern Conference,2,Toronto FC,23,13,5,5,33,26,7,44
Eastern Conference,3,Columbus Crew,23,12,5,6,36,21,15,41
Eastern Conference,4,Orlando City SC,23,11,8,4,40,25,15,41
Eastern Conference,5,New York City FC,23,12,3,8,37,25,12,39
Eastern Conference,6,Red Bull New York,23,9,5,9,29,31,-2,32
Eastern Conference,7,Nashville SC,23,8,8,7,24,22,2,32
Eastern Conference,8,New England Revolution,23,8,8,7,26,25,1,32
Eastern Conference,9,CF Montréal,23,8,2,13,33,43,-10,26
Eastern Conference,10,Inter Miami CF,23,7,3,13,25,35,-10,24
Eastern Conference,11,Chicago Fire FC,23,5,8,10,33,39,-6,23
Eastern Conference,12,Atlanta United FC,23,6,4,13,23,30,-7,22
Eastern Conference,13,D.C. United,23,5,6,12,25,41,-16,21
Eastern Conference,14,FC Cincinnati,23,4,4,15,12,36,-24,16
Western Conference,1,Sporting Kansas City,20,11,3,6,36,25,11,36
Western Conference,2,Portland Timbers,22,11,5,6,45,34,11,38
Western Conference,3,Seattle Sounders FC,21,10,6,5,40,22,18,36
Western Conference,4,FC Dallas,21,9,7,5,28,21,7,34
Western Conference,5,Minnesota United FC,20,8,7,5,33,26,7,31
Western Conference,6,LAFC,21,9,4,8,46,38,8,31
Western Conference,7,Colorado Rapids,17,7,4,6,30,27,3,25
Western Conference,8,San Jose Earthquakes,22,8,6,8,34,47,-13,30
Western Conference,9,Vancouver Whitecaps,22,8,0,14,24,44,-20,24
Western Conference,10,LA Galaxy,21,6,4,11,27,43,-16,22
Western Conference,11,Real Salt Lake,21,5,7,9,25,33,-8,22
Western Conference,12,Houston Dynamo FC,22,4,9,9,29,38,-9,21
