Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,New England Revolution,32,17,8,7,55,37,18,59
Eastern Conference,2,D.C. United,32,16,6,10,58,37,21,54
Eastern Conference,3,Chicago Fire FC,32,15,4,13,49,50,-1,49
Eastern Conference,4,Red Bull New York,32,12,11,9,53,49,4,47
Eastern Conference,5,Sporting Kansas City,32,11,12,9,52,44,8,45
Eastern Conference,6,Columbus Crew,32,11,5,16,34,45,-11,38
Western Conference,1,San Jose Earthquakes,32,18,10,4,53,31,22,64
Western Conference,2,FC Dallas,32,13,9,10,52,44,8,48
Western Conference,3,Colorado Rapids,32,13,6,13,40,37,3,45
Western Conference,4,LA Galaxy,32,13,6,13,44,45,-1,45
Western Conference,5,Real Salt Lake,32,5,5,22,30,65,-35,20
Western Conference,6,Chivas USA,32,4,6,22,31,67,-36,18
