Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Sporting Kansas City,34,18,9,7,42,27,15,63
Eastern Conference,2,D.C. United,34,17,7,10,53,43,10,58
Eastern Conference,3,Red Bull New York,34,16,9,9,57,46,11,57
Eastern Conference,4,Chicago Fire FC,34,17,6,11,46,41,5,57
Eastern Conference,5,Houston Dynamo FC,34,14,11,9,48,41,7,53
Eastern Conference,6,Columbus Crew,34,15,7,12,44,44,0,52
Eastern Conference,7,CF Montréal,34,12,6,16,45,51,-6,42
Eastern Conference,8,Philadelphia Union,34,10,6,18,37,45,-8,36
Eastern Conference,9,New England Revolution,34,9,8,17,39,44,-5,35
Eastern Conference,10,Toronto FC,34,5,8,21,36,62,-26,23
Western Conference,1,San Jose Earthquakes,34,19,9,6,72,43,29,66
Western Conference,2,Real Salt Lake,34,17,6,11,46,35,11,57
Western Conference,3,Seattle Sounders FC,34,15,11,8,51,33,18,56
Western Conference,4,LA Galaxy,34,16,6,12,59,47,12,54
Western Conference,5,Vancouver Whitecaps,34,11,10,13,35,41,-6,43
Western Conference,6,FC Dallas,34,9,12,13,42,47,-5,39
Western Conference,7,Colorado Rapids,34,11,4,19,44,50,-6,37
Western Conference,8,Portland Timbers,34,8,10,16,34,56,-22,34
Western Conference,9,Chivas USA,34,7,9,18,24,58,-34,30
