Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Red Bull New York,34,17,8,9,58,41,17,59
Eastern Conference,2,Sporting Kansas City,34,17,7,10,47,30,17,58
Eastern Conference,3,New England Revolution,34,14,9,11,49,38,11,51
Eastern Conference,4,Houston Dynamo FC,34,14,9,11,41,41,0,51
Eastern Conference,5,CF Montréal,34,14,7,13,50,49,1,49
Eastern Conference,6,Chicago Fire FC,34,14,7,13,47,52,-5,49
Eastern Conference,7,Philadelphia Union,34,12,10,12,42,44,-2,46
Eastern Conference,8,Columbus Crew,34,12,5,17,42,46,-4,41
Eastern Conference,9,Toronto FC,34,6,11,17,30,47,-17,29
Eastern Conference,10,D.C. United,34,3,7,24,22,59,-37,16
Western Conference,1,Portland Timbers,34,14,15,5,54,33,21,57
Western Conference,2,Real Salt Lake,34,16,8,10,57,41,16,56
Western Conference,3,LA Galaxy,34,15,8,11,53,38,15,53
Western Conference,4,Seattle Sounders FC,34,15,7,12,42,42,0,52
Western Conference,5,Colorado Rapids,34,14,9,11,45,38,7,51
Western Conference,6,San Jose Earthquakes,34,14,9,11,35,42,-7,51
Western Conference,7,Vancouver Whitecaps,34,13,9,12,53,45,8,48
Western Conference,8,FC Dallas,34,11,11,12,48,52,-4,44
Western Conference,9,Chivas USA,34,6,8,20,30,67,-37,26
