Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,D.C. United,32,15,10,7,52,38,14,55
Eastern Conference,2,New England Revolution,32,12,12,8,39,35,4,48
Eastern Conference,3,Chicago Fire FC,32,13,8,11,43,41,2,47
Eastern Conference,4,Red Bull New York,32,9,12,11,41,41,0,39
Eastern Conference,5,Sporting Kansas City,32,10,8,14,43,45,-2,38
Eastern Conference,6,Columbus Crew,32,8,9,15,30,42,-12,33
Western Conference,1,FC Dallas,32,16,4,12,48,44,4,52
Western Conference,2,Houston Dynamo FC,32,11,13,8,44,40,4,46
Western Conference,3,Chivas USA,32,10,13,9,45,42,3,43
Western Conference,4,Colorado Rapids,32,11,8,13,36,49,-13,41
Western Conference,5,LA Galaxy,32,11,6,15,37,37,0,39
Western Conference,6,Real Salt Lake,32,10,9,13,45,49,-4,39
