Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Red Bull New York,34,22,5,7,62,33,29,71
Eastern Conference,2,Atlanta United FC,34,21,6,7,70,44,26,69
Eastern Conference,3,New York City FC,34,16,8,10,59,45,14,56
Eastern Conference,4,D.C. United,34,14,9,11,60,50,10,51
Eastern Conference,5,Columbus Crew,34,14,9,11,43,45,-2,51
Eastern Conference,6,Philadelphia Union,34,15,5,14,49,50,-1,50
Eastern Conference,7,CF Montréal,34,14,4,16,47,53,-6,46
Eastern Conference,8,New England Revolution,34,10,11,13,49,55,-6,41
Eastern Conference,9,Toronto FC,34,10,6,18,59,64,-5,36
Eastern Conference,10,Chicago Fire FC,34,8,8,18,48,61,-13,32
Eastern Conference,11,Orlando City SC,34,8,4,22,43,74,-31,28
Western Conference,1,Sporting Kansas City,34,18,8,8,65,40,25,62
Western Conference,2,Seattle Sounders FC,34,18,5,11,52,37,15,59
Western Conference,3,LAFC,34,16,9,9,68,52,16,57
Western Conference,4,FC Dallas,34,16,9,9,52,44,8,57
Western Conference,5,Portland Timbers,34,15,9,10,54,48,6,54
Western Conference,6,Real Salt Lake,34,14,7,13,55,58,-3,49
Western Conference,7,LA Galaxy,34,13,9,12,66,64,2,48
Western Conference,8,Vancouver Whitecaps,34,13,8,13,54,67,-13,47
Western Conference,9,Houston Dynamo FC,34,10,8,16,58,58,0,38
Western Conference,10,Minnesota United FC,34,11,3,20,49,71,-22,36
Western Conference,11,Colorado Rapids,34,8,7,19,36,63,-27,31
Western Conference,12,San Jose Earthquakes,34,4,9,21,49,71,-22,21
