Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,New England Revolution,34,22,7,5,65,41,24,73
Eastern Conference,2,Philadelphia Union,34,14,12,8,48,35,13,54
Eastern Conference,3,Nashville SC,34,12,18,4,55,33,22,54
Eastern Conference,4,New York City FC,34,14,9,11,56,36,20,51
Eastern Conference,5,Atlanta United FC,34,13,12,9,45,37,8,51
Eastern Conference,6,Orlando City SC,34,13,12,9,50,48,2,51
Eastern Conference,7,Red Bull New York,34,13,9,12,39,33,6,48
Eastern Conference,8,D.C. United,34,14,5,15,56,54,2,47
Eastern Conference,9,Columbus Crew,34,13,8,13,46,45,1,47
Eastern Conference,10,CF Montréal,34,12,10,12,46,44,2,46
Eastern Conference,11,Inter Miami CF,34,12,5,17,36,53,-17,41
Eastern Conference,12,Chicago Fire FC,34,9,7,18,36,54,-18,34
Eastern Conference,13,Toronto FC,34,6,10,18,39,66,-27,28
Eastern Conference,14,FC Cincinnati,34,4,8,22,37,74,-37,20
Western Conference,1,Colorado Rapids,34,17,10,7,51,35,16,61
Western Conference,2,Seattle Sounders FC,34,17,9,8,53,33,20,60
Western Conference,3,Sporting Kansas City,34,17,7,10,58,40,18,58
Western Conference,4,Portland Timbers,34,17,4,13,56,52,4,55
Western Conference,5,Minnesota United FC,34,13,10,11,42,44,-2,49
Western Conference,6,Vancouver Whitecaps,34,12,13,9,45,45,0,49
Western Conference,7,Real Salt Lake,34,14,6,14,55,54,1,48
Western Conference,8,LA Galaxy,34,13,9,12,50,54,-4,48
Western Conference,9,LAFC,34,12,9,13,53,51,2,45
Western Conference,10,San Jose Earthquakes,34,10,11,13,46,54,-8,41
Western Conference,11,FC Dallas,34,7,12,15,47,56,-9,33
Western Conference,12,Austin FC,34,9,4,21,35,56,-21,31
Western Conference,13,Houston Dynamo FC,34,6,12,16,36,54,-18,30
