Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Toronto FC,34,20,9,5,74,37,37,69
Eastern Conference,2,New York City FC,34,16,9,9,56,43,13,57
Eastern Conference,3,Chicago Fire FC,34,16,7,11,61,47,14,55
Eastern Conference,4,Atlanta United FC,34,15,10,9,70,40,30,55
Eastern Conference,5,Columbus Crew,34,16,6,12,53,49,4,54
Eastern Conference,6,Red Bull New York,34,14,8,12,53,47,6,50
Eastern Conference,7,New England Revolution,34,13,6,15,53,61,-8,45
Eastern Conference,8,Philadelphia Union,34,11,9,14,50,47,3,42
Eastern Conference,9,CF Montréal,34,11,6,17,52,58,-6,39
Eastern Conference,10,Orlando City SC,34,10,9,15,39,58,-19,39
Eastern Conference,11,D.C. United,34,9,5,20,31,60,-29,32
Western Conference,1,Portland Timbers,34,15,8,11,60,50,10,53
Western Conference,2,Seattle Sounders FC,34,14,11,9,52,39,13,53
Western Conference,3,Vancouver Whitecaps,34,15,7,12,50,49,1,52
Western Conference,4,Houston Dynamo FC,34,13,11,10,57,45,12,50
Western Conference,5,Sporting Kansas City,34,12,13,9,40,29,11,49
Western Conference,6,San Jose Earthquakes,34,13,7,14,39,60,-21,46
Western Conference,7,FC Dallas,34,11,13,10,48,48,0,46
Western Conference,8,Real Salt Lake,34,13,6,15,49,55,-6,45
Western Conference,9,Minnesota United FC,34,10,6,18,47,70,-23,36
Western Conference,10,Colorado Rapids,34,9,6,19,31,51,-20,33
Western Conference,11,LA Galaxy,34,8,8,18,45,67,-22,32
