Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Columbus Crew,28,11,5,12,44,43,1,38
Eastern Conference,2,New England Revolution,28,12,2,14,49,49,0,38
Eastern Conference,3,Chicago Fire FC,28,11,4,13,43,38,5,37
Eastern Conference,4,Red Bull New York,28,11,2,15,41,47,-6,35
Eastern Conference,5,D.C. United,28,9,5,14,31,40,-9,32
Western Conference,1,LA Galaxy,28,16,3,9,44,33,11,51
Western Conference,2,San Jose Earthquakes,28,14,3,11,45,35,10,45
Western Conference,3,FC Dallas,28,12,7,9,44,43,1,43
Western Conference,4,Colorado Rapids,28,13,4,11,43,48,-5,43
Western Conference,5,Sporting Kansas City,28,9,9,10,37,45,-8,36
