Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Red Bull New York,30,15,6,9,38,29,9,51
Eastern Conference,2,Columbus Crew,30,14,8,8,40,34,6,50
Eastern Conference,3,Sporting Kansas City,30,11,6,13,36,35,1,39
Eastern Conference,4,Chicago Fire FC,30,9,9,12,37,38,-1,36
Eastern Conference,5,Toronto FC,30,9,8,13,33,41,-8,35
Eastern Conference,6,New England Revolution,30,9,5,16,32,50,-18,32
Eastern Conference,7,Philadelphia Union,30,8,7,15,35,49,-14,31
Eastern Conference,8,D.C. United,30,6,4,20,21,47,-26,22
Western Conference,1,LA Galaxy,30,18,5,7,44,26,18,59
Western Conference,2,Real Salt Lake,30,15,11,4,45,20,25,56
Western Conference,3,FC Dallas,30,12,14,4,42,28,14,50
Western Conference,4,Seattle Sounders FC,30,14,6,10,39,35,4,48
Western Conference,5,Colorado Rapids,30,12,10,8,44,32,12,46
Western Conference,6,San Jose Earthquakes,30,13,7,10,34,33,1,46
Western Conference,7,Houston Dynamo FC,30,9,6,15,40,49,-9,33
Western Conference,8,Chivas USA,30,8,4,18,31,45,-14,28
