Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alex Killorn,TB,LW,66,11,44,55,27.0,31,24:03,4,18,155,7.1,,,,,,2,0,0.0
Alexander Volkov,TB,RW,8,0,2,2,0.0,12,16:09,0,0,11,0.0,,,,,,0,0,0.0
Anthony Cirelli,TB,C,68,26,23,49,19.0,20,17:55,8,5,130,20.0,,,,,,0,0,0.0
Barclay Goodrow C *,TB,,25,1,2,3,-8.0,23,12:27,0,0,31,3.2,,,,,,0,0,0.0
Blake Coleman LW *,TB,,4,0,1,1,-2.0,4,11:05,0,0,5,0.0,,,,,,0,0,0.0
Brayden Point,TB,C,57,29,37,66,14.0,22,18:25,10,9,176,16.5,,,,,,2,2,100.0
Braydon Coburn,TB,D,3,1,3,4,2.0,4,11:52,0,0,5,20.0,,,,,,0,0,0.0
Cameron Gaunce,TB,D,38,3,3,6,-9.0,10,10:47,0,0,43,7.0,,,,,,0,0,0.0
Carter Verhaeghe,TB,C,61,7,11,18,-1.0,42,13:03,0,0,78,9.0,,,,,,0,0,0.0
Cedric Paquette,TB,C,64,9,14,23,4.0,71,12:24,1,2,80,11.3,,,,,,0,0,0.0
Cory Conacher,TB,C,3,1,0,1,0.0,4,9:10,0,0,1,100.0,,,,,,0,0,0.0
Erik Cernak,TB,D,50,1,11,12,7.0,19,20:42,0,0,50,2.0,,,,,,0,0,0.0
Gemel Smith,TB,C,9,0,1,1,-6.0,6,10:15,0,0,7,0.0,,,,,,0,0,0.0
Jan Rutta,TB,D,37,4,3,7,-2.0,16,11:31,0,0,35,11.4,,,,,,0,0,0.0
Kevin Shattenkirk,TB,D,70,10,24,34,15.0,58,20:22,5,8,118,8.5,,,,,,1,1,100.0
Luke Schenn,TB,D,12,1,2,3,-4.0,13,8:48,0,0,10,10.0,,,,,,0,0,0.0
Luke Witkowski,TB,D,40,1,3,4,5.0,16,14:03,0,0,44,2.3,,,,,,0,0,0.0
Mathieu Joseph,TB,RW,67,5,7,12,11.0,59,18:57,0,0,125,4.0,,,,,,0,0,0.0
Mikhail Sergachev,TB,D,69,17,24,41,25.0,22,16:11,4,4,128,13.3,,,,,,0,0,0.0
Mitchell Stephens,TB,C,33,1,6,7,6.0,14,15:32,0,0,43,2.3,,,,,,0,0,0.0
Ondrej Palat,TB,LW,68,16,28,44,28.0,30,18:27,1,4,113,14.2,,,,,,0,0,0.0
Pat Maroon,TB,LW,70,10,20,30,-5.0,49,14:03,1,5,110,9.1,,,,,,0,0,0.0
Ryan McDonagh,TB,D,52,9,4,13,-9.0,8,9:21,1,0,57,15.8,,,,,,0,0,0.0
Steven Stamkos,TB,C,68,33,52,85,26.0,38,18:51,4,21,210,15.7,,,,,,3,0,0.0
Total,TB,,9,0,1,1,2.0,16,14:42,0,0,18,0.0,,,,,,0,0,0.0
Tyler Johnson,TB,C,70,8,26,34,22.0,38,18:53,1,6,131,6.1,,,,,,0,0,0.0
Victor Hedman,TB,D,66,25,39,64,28.0,11,18:54,8,5,141,17.7,,,,,,3,1,33.3
Yanni Gourde,TB,C,65,14,17,31,9.0,16,14:32,1,6,113,12.4,,,,,,0,0,0.0
Zach Bogosian D *,TB,,8,0,2,2,0.0,17,12:26,0,0,8,0.0,,,,,,0,0,0.0
