Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Adam Graves,NYR,LW,77,23,46,69,13.0,80,0:00,11,15,223,10.3,,,,,,0,0,0.0
Alex Kovalev,NYR,RW,82,22,36,58,18.0,100,0:00,9,14,266,8.3,,,,,,0,0,0.0
Alexander Karpovtsev,NYR,D,74,1,18,19,9.0,122,0:00,0,3,66,1.5,,,,,,0,0,0.0
Barry Richter,NYR,D,5,0,1,1,-4.0,0,0:00,0,1,6,0.0,,,,,,0,0,0.0
Bill Berg LW *,NYR,,28,1,2,3,-5.0,53,0:00,0,0,21,4.8,,,,,,0,0,0.0
Brian Leetch,NYR,D,74,47,52,99,29.0,122,0:00,14,23,241,19.5,,,,,,0,0,0.0
Bruce Driver,NYR,D,65,25,29,54,13.0,82,0:00,8,9,160,15.6,,,,,,0,0,0.0
Chris Ferraro,NYR,C,9,0,2,2,-6.0,21,0:00,0,0,12,0.0,,,,,,0,0,0.0
Dan Lacroix,NYR,C,14,1,4,5,-4.0,2,0:00,0,1,27,3.7,,,,,,0,0,0.0
Darren Langdon,NYR,LW,59,5,9,14,11.0,50,0:00,0,2,73,6.8,,,,,,0,0,0.0
Doug Lidster,NYR,D,82,3,11,14,19.0,220,0:00,0,0,65,4.6,,,,,,0,0,0.0
Ian Laperriere RW *,NYR,,38,1,2,3,-4.0,49,0:00,0,0,19,5.3,,,,,,0,0,0.0
Jari Kurri RW *,NYR,,10,2,3,5,-3.0,4,0:00,2,1,10,20.0,,,,,,0,0,0.0
Jeff Beukeboom,NYR,D,40,2,16,18,11.0,26,0:00,1,7,71,2.8,,,,,,0,0,0.0
Joe Kocur RW *,NYR,,25,2,1,3,5.0,22,0:00,0,0,17,11.8,,,,,,0,0,0.0
Ken Gernander,NYR,RW,53,1,5,6,20.0,76,0:00,0,0,30,3.3,,,,,,0,0,0.0
Kevin Lowe,NYR,D,32,4,2,6,-4.0,22,0:00,1,0,39,10.3,,,,,,0,0,0.0
Luc Robitaille,NYR,LW,69,41,41,82,29.0,129,0:00,17,16,252,16.3,,,,,,0,0,0.0
Marty McSorley D *,NYR,,18,2,1,3,0.0,8,0:00,0,0,27,7.4,,,,,,0,0,0.0
Mattias Norstrom D *,NYR,,25,2,2,4,-1.0,30,0:00,0,0,14,14.3,,,,,,0,0,0.0
Nathan Lafayette C *,NYR,,10,0,0,0,-3.0,26,0:00,0,0,5,0.0,,,,,,0,0,0.0
Nick Kypreos LW *,NYR,,19,4,4,8,-3.0,30,0:00,2,2,35,11.4,,,,,,0,0,0.0
Niklas Sundstrom,NYR,RW,78,17,15,32,9.0,38,0:00,0,1,118,14.4,,,,,,0,0,0.0
Pat Verbeek,NYR,RW,82,15,70,85,12.0,30,0:00,7,37,276,5.4,,,,,,0,0,0.0
Peter Ferraro,NYR,RW,2,1,0,1,-3.0,0,0:00,1,0,4,25.0,,,,,,0,0,0.0
Ray Ferraro C *,NYR,,81,24,34,58,5.0,98,0:00,8,10,206,11.7,,,,,,0,0,0.0
Sergei Nemchinov,NYR,C,66,3,34,37,2.0,42,0:00,3,19,140,2.1,,,,,,0,0,0.0
Sergio Momesso LW *,NYR,,61,4,6,10,7.0,74,0:00,0,0,85,4.7,,,,,,0,0,0.0
Shane Churla RW *,NYR,,4,0,1,1,2.0,0,0:00,0,0,3,0.0,,,,,,0,0,0.0
Stephane Matteau RW *,NYR,,42,3,4,7,1.0,77,0:00,0,0,35,8.6,,,,,,0,0,0.0
Steve Larouche C *,NYR,,5,0,0,0,-1.0,2,0:00,0,0,5,0.0,,,,,,0,0,0.0
Total,NYR,,1,0,0,0,0.0,0,0:00,0,0,1,0.0,,,,,,0,0,0.0
Ulf Samuelsson,NYR,D,82,9,12,21,2.0,14,0:00,1,0,90,10.0,,,,,,0,0,0.0
Wayne Presley RW *,NYR,,64,7,4,11,2.0,175,0:00,0,0,29,24.1,,,,,,0,0,0.0
