Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Andreas Karlsson,WPG,C,27,6,9,15,-21.0,4,16:54,0,5,68,8.8,,,,,,0,0,0.0
Brett Clark,WPG,D,23,1,0,1,-5.0,14,16:53,0,0,9,11.1,,,,,,0,0,0.0
Bryan Adams,WPG,LW,14,0,1,1,-12.0,4,16:50,0,0,13,0.0,,,,,,0,0,0.0
Chris McAlpine D *,WPG,,4,0,0,0,-1.0,13,18:27,0,0,2,0.0,,,,,,0,0,0.0
Chris Tamer,WPG,D,14,7,4,11,-4.0,12,21:35,0,2,50,14.0,,,,,,0,0,0.0
Darryl Shannon D *,WPG,,63,5,14,19,-22.0,41,18:24,3,4,90,5.6,,,,,,0,0,0.0
David Harlock,WPG,D,44,5,1,6,-5.0,44,11:26,0,0,51,9.8,,,,,,0,0,0.0
Dean Sylvester,WPG,RW,75,10,21,31,-42.0,22,19:27,4,12,139,7.2,,,,,,0,0,0.0
Denny Lambert,WPG,LW,58,1,10,11,-26.0,38,22:40,0,3,74,1.4,,,,,,0,0,0.0
Donald Audette RW *,WPG,,33,4,7,11,-13.0,18,14:19,1,2,53,7.5,,,,,,0,0,0.0
Ed Ward RW *,WPG,,38,3,4,7,-8.0,6,13:23,0,0,36,8.3,,,,,,0,0,0.0
Eric Bertrand LW *,WPG,,3,0,0,0,0.0,0,10:51,0,0,2,0.0,,,,,,0,0,0.0
Frantisek Kaberle D *,WPG,,64,2,5,7,-11.0,144,8:25,0,0,54,3.7,,,,,,0,0,0.0
Geordie Kinnear,WPG,D,8,0,0,0,-5.0,4,9:55,0,0,11,0.0,,,,,,0,0,0.0
Gord Murphy,WPG,D,20,4,9,13,-13.0,4,17:47,2,2,34,11.8,,,,,,0,0,0.0
Herbert Vasiljevs,WPG,C,3,0,1,1,-1.0,0,16:37,0,0,5,0.0,,,,,,0,0,0.0
Hnat Domenichelli RW *,WPG,,73,2,14,16,-30.0,31,15:19,0,3,79,2.5,,,,,,0,0,0.0
Jason Botterill LW *,WPG,,27,2,3,5,-5.0,66,13:00,0,0,38,5.3,,,,,,0,0,0.0
Johan Garpenlov,WPG,LW,68,5,12,17,-34.0,139,16:21,0,1,56,8.9,,,,,,0,0,0.0
Kelly Buchberger C *,WPG,,49,5,13,18,-14.0,65,21:21,1,5,66,7.6,,,,,,0,0,0.0
Kevin Dean D *,WPG,,7,1,0,1,-3.0,4,9:17,0,0,2,50.0,,,,,,0,0,0.0
Martin Prochazka,WPG,LW,27,1,0,1,-17.0,71,13:12,0,0,6,16.7,,,,,,0,0,0.0
Matt Johnson,WPG,LW,40,4,3,7,-12.0,20,21:31,0,2,47,8.5,,,,,,0,0,0.0
Maxim Galanov,WPG,D,69,2,8,10,-32.0,91,18:29,0,1,61,3.3,,,,,,0,0,0.0
Mike Stapleton,WPG,C,72,5,20,25,-20.0,30,14:48,1,2,117,4.3,,,,,,0,0,0.0
Nelson Emerson RW *,WPG,,81,19,25,44,-33.0,88,16:09,10,8,170,11.2,,,,,,0,0,0.0
Patrik Stefan,WPG,C,52,16,10,26,-14.0,24,13:44,1,2,98,16.3,,,,,,0,0,0.0
Per Svartvadet,WPG,C,14,1,6,7,-13.0,6,24:38,0,4,35,2.9,,,,,,0,0,0.0
Petr Buzek,WPG,D,62,10,12,22,-29.0,30,17:18,4,5,146,6.8,,,,,,0,0,0.0
Ray Ferraro,WPG,C,81,23,27,50,-32.0,30,15:42,9,12,107,21.5,,,,,,0,0,0.0
Rumun Ndur,WPG,D,7,1,3,4,-3.0,2,23:18,1,1,5,20.0,,,,,,0,0,0.0
Sergei Vyshedkevich,WPG,D,25,1,4,5,-7.0,17,11:16,0,0,17,5.9,,,,,,0,0,0.0
Shean Donovan RW *,WPG,,73,5,6,11,-17.0,219,11:38,2,1,83,6.0,,,,,,0,0,0.0
Stephen Guolla LW *,WPG,,51,5,9,14,-17.0,14,12:59,1,1,74,6.8,,,,,,0,0,0.0
Steve Staios,WPG,D,44,0,6,6,-8.0,36,19:40,0,0,29,0.0,,,,,,0,0,0.0
Total,WPG,,3,0,0,0,-4.0,2,19:40,0,0,4,0.0,,,,,,0,0,0.0
Vladimir Vujtek,WPG,C,2,0,0,0,-1.0,0,10:56,0,0,1,0.0,,,,,,0,0,0.0
Yannick Tremblay,WPG,D,58,14,19,33,-24.0,47,19:10,4,5,183,7.7,,,,,,0,0,0.0
