Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Mike Farmer#,27.0,COL,NL,0.1,7.0,10.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,95.0,0.36,92.0,4.0,0.0,0.0,0.0,0.0,0.0,/1,
Mike Munoz*,30.0,COL,NL,0.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-158.0,0.0,0.0,0.0,0.0,0.0,0.0,1,
Milt Thompson*,37.0,COL,NL,-0.5,14.0,16.0,15.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.067,0.125,0.133,0.258,-37.0,0.124,-74.0,2.0,0.0,0.0,0.0,0.0,0.0,H/7,
Neifi Pérez#,23.0,COL,NL,-0.6,17.0,46.0,45.0,4.0,7.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,8.0,0.156,0.156,0.2,0.356,-14.0,0.185,-25.0,9.0,2.0,0.0,1.0,0.0,0.0,6/4H,
Pedro Castellano,26.0,COL,NL,-0.3,13.0,21.0,17.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,6.0,0.118,0.286,0.118,0.403,3.0,0.199,-27.0,2.0,0.0,1.0,0.0,0.0,1.0,/H457,
Quinton McCracken#,25.0,COL,NL,0.3,124.0,329.0,283.0,50.0,82.0,13.0,6.0,3.0,40.0,17.0,6.0,32.0,62.0,0.29,0.363,0.41,0.773,87.0,0.356,86.0,116.0,5.0,1.0,12.0,1.0,4.0,8H/79,
Robbie Beckett,23.0,COL,NL,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Roger Bailey,25.0,COL,NL,0.4,24.0,25.0,19.0,4.0,5.0,0.0,1.0,1.0,5.0,0.0,0.0,3.0,4.0,0.263,0.364,0.526,0.89,113.0,0.384,110.0,10.0,0.0,0.0,3.0,0.0,0.0,1,
Ryan Hawblitzel,25.0,COL,NL,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-158.0,0.0,0.0,0.0,0.0,0.0,0.0,/1,
Steve Decker,30.0,COL,NL,0.3,10.0,29.0,25.0,8.0,8.0,2.0,0.0,1.0,8.0,1.0,0.0,3.0,3.0,0.32,0.393,0.52,0.913,119.0,0.408,120.0,13.0,0.0,0.0,1.0,0.0,0.0,2,
Steve Reed,31.0,COL,NL,0.0,70.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333,0.333,0.333,0.667,63.0,0.3,50.0,1.0,0.0,0.0,0.0,0.0,0.0,1,
Terry Jones#,25.0,COL,NL,-0.1,12.0,11.0,10.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.3,0.273,0.3,0.573,39.0,0.246,12.0,3.0,0.0,0.0,0.0,1.0,0.0,/H8,
Trenidad Hubbard,32.0,COL,NL,0.4,45.0,70.0,60.0,12.0,13.0,5.0,1.0,1.0,12.0,2.0,0.0,9.0,22.0,0.217,0.329,0.383,0.712,72.0,0.328,65.0,23.0,1.0,1.0,0.0,0.0,0.0,H8/7,
Vinny Castilla,28.0,COL,NL,3.2,160.0,673.0,629.0,97.0,191.0,34.0,0.0,40.0,113.0,7.0,2.0,35.0,88.0,0.304,0.343,0.548,0.892,112.0,0.387,111.0,345.0,20.0,5.0,0.0,4.0,7.0,*5/H,
Walt Weiss#,32.0,COL,NL,0.9,155.0,624.0,517.0,89.0,146.0,20.0,2.0,8.0,48.0,10.0,2.0,80.0,78.0,0.282,0.381,0.375,0.756,85.0,0.353,85.0,194.0,9.0,6.0,14.0,6.0,5.0,*6/H,
