Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Atlanta Hawks,82,96.6,36.4,81.5,44.7,6.6,19.3,34.1,17.2,23.8,72.4,13.5,27.7,41.2,21.4,9.0,5.0,14.9,22.0
Boston Celtics,82,102.8,38.8,83.5,46.4,4.4,12.0,36.8,20.8,27.7,75.3,14.1,28.3,42.4,21.7,7.5,4.4,15.9,24.1
Charlotte Hornets,82,100.6,37.2,78.5,47.4,6.8,17.2,39.7,19.4,24.9,77.7,10.1,29.2,39.4,25.3,7.6,4.9,14.9,20.5
Chicago Bulls,82,101.5,38.9,81.8,47.6,5.4,14.5,37.3,18.3,25.2,72.6,13.5,28.0,41.5,24.0,9.7,4.3,15.8,23.9
Cleveland Cavaliers,82,90.5,33.6,76.3,44.1,4.9,12.6,38.5,18.4,24.2,76.0,12.7,27.3,40.0,20.4,7.7,4.3,14.3,20.7
Dallas Mavericks,82,103.2,39.4,89.5,44.0,4.7,14.6,32.2,19.8,27.0,73.4,18.5,29.7,48.1,23.7,7.1,4.2,16.4,22.1
Denver Nuggets,82,101.3,37.8,78.8,47.9,5.0,14.1,35.6,20.7,28.1,73.8,12.7,29.3,42.0,22.4,8.0,7.1,16.8,25.2
Detroit Pistons,82,98.2,37.3,80.9,46.1,6.0,17.0,35.4,17.5,23.7,74.1,11.7,26.9,38.6,22.8,8.6,5.1,16.1,26.2
Golden State Warriors,82,105.7,39.2,83.8,46.8,6.7,19.5,34.1,20.6,29.2,70.4,13.4,28.9,42.3,24.6,7.9,4.8,18.3,22.0
Houston Rockets,82,103.5,38.5,80.2,48.0,7.9,21.4,36.8,18.6,24.9,74.9,10.7,29.8,40.5,25.1,8.8,6.3,16.1,20.9
Indiana Pacers,82,99.2,36.4,76.2,47.7,4.6,12.0,38.0,21.9,29.1,75.1,12.8,27.9,40.7,22.9,8.6,4.4,16.3,23.6
Los Angeles Clippers,82,96.7,37.3,84.0,44.4,4.0,12.8,31.5,18.0,25.4,71.0,13.0,25.3,38.3,22.0,9.6,5.3,16.3,26.2
Los Angeles Lakers,82,105.1,40.0,86.4,46.3,6.4,18.2,35.2,18.6,25.3,73.5,13.7,28.2,42.0,25.3,9.1,6.9,15.2,23.6
Miami Heat,82,101.1,38.3,82.2,46.7,5.3,14.4,36.9,19.1,26.0,73.6,13.3,27.7,41.0,21.7,8.1,3.6,15.7,24.4
Milwaukee Bucks,82,99.3,36.9,80.3,45.9,6.0,16.5,36.6,19.6,27.5,71.2,13.0,26.7,39.6,21.2,8.2,4.4,17.0,22.7
Minnesota Timberwolves,82,94.2,34.0,75.8,44.9,3.9,12.4,31.3,22.2,28.7,77.5,10.8,25.5,36.3,21.7,7.4,4.9,17.1,25.3
New Jersey Nets,82,98.1,35.8,82.2,43.6,5.0,15.8,31.9,21.3,28.1,75.9,14.8,31.3,46.1,23.0,6.6,6.7,15.9,22.5
New York Knicks,82,98.2,36.4,78.0,46.7,6.5,17.6,36.8,18.9,25.8,73.4,11.3,30.2,41.5,25.1,7.2,4.7,15.9,25.6
Orlando Magic,82,110.9,42.2,84.1,50.2,6.4,17.2,37.0,20.1,30.1,66.9,14.0,30.0,44.0,27.8,8.2,6.0,15.8,21.0
Philadelphia 76ers,82,95.4,36.0,80.2,44.8,4.3,11.4,37.9,19.1,25.9,73.7,13.5,27.2,40.7,19.1,7.8,7.0,16.5,22.4
Phoenix Suns,82,110.6,40.9,85.0,48.2,7.1,19.3,36.9,21.7,28.7,75.6,12.5,29.3,41.8,26.8,8.4,3.8,14.2,22.4
Portland Trail Blazers,82,103.1,39.2,87.0,45.1,5.6,15.4,36.5,19.0,27.2,69.7,16.5,29.8,46.3,22.5,8.1,5.7,14.8,24.7
Sacramento Kings,82,98.2,36.9,78.8,46.8,4.4,12.6,34.6,20.1,28.3,71.1,13.1,28.4,41.4,22.2,7.9,5.6,17.7,24.9
San Antonio Spurs,82,106.6,39.5,81.5,48.4,5.3,14.1,37.5,22.4,30.3,73.8,12.5,32.5,45.0,23.4,8.0,5.6,15.2,22.8
Seattle SuperSonics,82,110.4,40.4,82.2,49.1,6.0,15.9,37.6,23.7,31.3,75.8,13.0,28.5,41.5,25.8,11.2,4.8,15.8,25.2
Utah Jazz,82,106.4,39.5,77.3,51.2,3.7,9.8,37.6,23.6,30.3,78.1,10.7,29.4,40.1,27.5,9.2,4.8,15.7,24.9
Washington Bullets,82,100.5,38.7,84.1,46.0,5.3,15.4,34.3,17.8,24.5,72.4,12.7,27.1,39.8,21.3,7.9,4.9,15.9,23.8
