Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Atlanta Hawks,82,98.3,36.4,81.3,44.8,6.9,19.5,35.5,18.6,24.5,75.7,14.4,26.2,40.6,19.6,9.4,3.9,15.0,20.9
Boston Celtics,82,103.6,38.6,84.7,45.6,6.6,17.7,37.1,19.9,27.9,71.4,12.8,29.6,42.4,21.9,8.0,5.0,15.9,24.9
Charlotte Hornets,82,102.8,37.9,80.7,47.0,7.1,18.5,38.4,19.9,25.8,77.0,12.0,27.5,39.5,23.3,7.1,3.4,15.1,22.1
Chicago Bulls,82,105.2,40.2,84.0,47.8,6.6,16.5,40.3,18.2,24.4,74.6,15.2,29.4,44.6,24.8,9.1,4.2,14.3,22.0
Cleveland Cavaliers,82,91.1,33.7,73.1,46.0,7.3,19.3,37.7,16.5,21.6,76.3,10.6,25.1,35.6,22.2,8.2,4.1,13.1,20.5
Dallas Mavericks,82,102.5,38.1,90.6,42.0,9.0,24.9,36.0,17.4,24.1,72.2,17.2,29.0,46.2,23.3,7.8,4.2,15.5,22.4
Denver Nuggets,82,97.7,36.6,81.2,45.1,4.8,14.0,34.6,19.7,26.5,74.3,12.9,30.3,43.2,22.6,6.4,7.3,15.4,23.0
Detroit Pistons,82,95.4,34.3,74.7,45.9,6.6,16.5,40.4,20.2,26.9,75.1,10.8,29.8,40.5,19.6,6.2,4.3,14.8,23.8
Golden State Warriors,82,101.6,37.3,81.7,45.6,5.5,14.6,37.3,21.6,28.5,75.9,14.3,27.9,42.2,23.0,8.6,5.7,16.4,22.4
Houston Rockets,82,102.5,37.5,81.0,46.4,7.8,21.5,36.2,19.6,25.7,76.5,11.2,29.9,41.1,24.2,7.9,5.8,15.2,21.4
Indiana Pacers,82,99.3,36.3,75.7,48.0,4.4,11.9,37.3,22.2,29.5,75.5,12.3,27.6,39.9,23.4,7.1,3.9,16.3,24.8
Los Angeles Clippers,82,99.4,38.1,80.7,47.2,6.2,16.8,37.0,17.0,24.2,70.2,11.9,26.7,38.6,20.4,8.6,5.0,16.5,24.5
Los Angeles Lakers,82,102.9,39.2,81.8,48.0,5.8,16.6,35.1,18.6,25.0,74.6,12.1,28.1,40.2,25.4,8.8,6.3,14.2,20.8
Miami Heat,82,96.5,35.4,77.4,45.7,6.7,17.8,37.9,18.9,26.7,71.0,12.2,30.4,42.6,21.4,7.0,5.4,17.0,26.3
Milwaukee Bucks,82,95.6,37.0,79.1,46.7,4.4,12.9,33.8,17.2,23.3,73.8,11.9,26.4,38.3,21.4,7.1,3.7,15.8,23.7
Minnesota Timberwolves,82,97.9,36.3,79.0,45.9,3.4,10.5,32.6,21.9,28.2,77.7,12.0,27.7,39.7,22.8,7.9,5.9,17.4,24.3
New Jersey Nets,82,93.7,35.1,82.3,42.7,3.0,9.1,33.5,20.4,27.4,74.5,16.5,30.5,47.0,21.4,7.6,7.0,16.8,22.9
New York Knicks,82,97.2,36.6,77.8,47.1,5.9,15.7,37.7,18.0,23.8,75.7,10.1,29.9,40.0,22.2,7.9,4.6,15.5,22.7
Orlando Magic,82,104.5,39.1,81.0,48.2,7.6,20.1,37.8,18.8,27.2,69.1,11.8,29.3,41.1,25.4,8.1,5.0,14.1,20.8
Philadelphia 76ers,82,94.5,34.1,78.3,43.6,6.0,17.5,34.2,20.3,27.6,73.4,12.6,26.4,38.9,19.9,7.8,5.1,17.2,21.7
Phoenix Suns,82,104.3,38.5,81.4,47.3,4.0,12.0,33.2,23.3,30.1,77.1,12.3,30.5,42.8,24.4,7.6,4.0,14.7,21.7
Portland Trail Blazers,82,99.3,37.4,81.6,45.8,5.9,16.6,35.3,18.7,28.3,66.2,14.1,31.4,45.6,21.5,7.2,5.1,16.8,22.7
Sacramento Kings,82,99.5,36.2,79.2,45.8,5.6,14.6,38.7,21.5,29.4,73.1,13.6,28.6,42.2,22.3,7.8,5.3,17.6,26.0
San Antonio Spurs,82,103.4,38.4,80.5,47.7,6.3,16.1,39.2,20.3,27.6,73.6,11.4,31.5,43.0,24.9,7.9,6.5,14.6,22.2
Seattle SuperSonics,82,104.5,37.5,78.1,48.0,7.1,19.5,36.4,22.5,29.6,76.0,11.6,29.9,41.5,24.4,10.8,4.8,17.6,24.0
Toronto Raptors,82,97.5,37.6,80.5,46.7,5.0,14.2,35.4,17.2,23.8,72.3,13.1,27.0,40.0,23.5,9.1,6.0,18.8,24.2
Utah Jazz,82,102.5,38.2,78.3,48.8,4.6,12.4,37.2,21.6,28.1,76.8,12.1,28.9,41.0,26.1,8.1,5.1,14.8,25.0
Vancouver Grizzlies,82,89.8,33.8,79.1,42.8,4.5,13.8,33.0,17.6,24.4,72.4,11.7,26.5,38.1,20.8,8.9,4.1,16.4,22.6
Washington Bullets,82,102.5,39.0,80.7,48.4,6.0,14.8,40.7,18.4,25.3,72.8,11.3,28.4,39.7,22.1,7.2,6.2,16.2,24.2
