Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Atlanta Hawks,50,86.3,30.8,75.2,40.9,3.9,12.9,30.6,20.8,28.4,73.1,13.5,30.0,43.5,15.6,6.9,5.2,14.9,19.7
Boston Celtics,50,93.0,36.3,83.3,43.6,5.5,15.2,36.0,14.9,21.5,69.2,13.6,29.2,42.8,21.5,9.1,5.1,16.1,23.9
Charlotte Hornets,50,92.9,33.4,74.4,44.9,5.4,14.7,36.5,20.7,27.7,74.7,9.6,29.9,39.5,22.2,8.9,4.9,15.9,22.0
Chicago Bulls,50,81.9,30.8,76.7,40.1,3.5,12.2,28.9,16.8,23.7,70.9,11.5,27.9,39.3,20.3,8.7,3.4,15.5,22.2
Cleveland Cavaliers,50,86.4,31.2,71.2,43.9,3.6,10.7,34.1,20.3,27.1,74.9,9.4,26.3,35.8,21.9,9.0,4.1,15.7,24.2
Dallas Mavericks,50,91.6,35.0,80.7,43.4,4.0,11.9,34.0,17.6,24.2,72.8,12.9,29.6,42.5,18.4,7.0,5.8,13.8,21.3
Denver Nuggets,50,93.5,33.6,79.8,42.1,6.0,18.4,32.8,20.2,26.5,76.2,12.9,27.8,40.8,19.4,7.5,5.5,14.8,22.9
Detroit Pistons,50,90.4,33.2,74.3,44.7,5.0,13.6,36.5,19.0,25.7,74.0,12.1,28.2,40.3,20.2,8.9,4.2,15.8,22.8
Golden State Warriors,50,88.3,34.6,83.5,41.5,3.2,11.3,28.7,15.9,23.5,67.6,16.3,31.2,47.5,20.7,8.3,4.4,15.4,25.4
Houston Rockets,50,94.2,35.1,76.0,46.2,6.7,18.3,36.8,17.3,23.7,72.9,10.7,30.8,41.5,21.2,7.7,5.2,16.2,19.2
Indiana Pacers,50,94.7,34.6,77.3,44.8,5.9,16.0,36.8,19.5,24.6,79.6,11.5,29.0,40.5,20.1,6.3,4.5,13.0,21.6
Los Angeles Clippers,50,90.4,34.2,80.1,42.7,4.3,13.4,32.0,17.7,24.5,72.1,13.3,25.9,39.2,16.4,8.5,4.7,15.9,24.5
Los Angeles Lakers,50,99.0,36.8,78.7,46.8,4.8,13.7,35.2,20.5,30.1,68.3,12.4,29.6,42.0,21.9,7.8,5.7,15.1,24.6
Miami Heat,50,89.0,32.3,71.3,45.3,5.8,16.1,35.9,18.6,25.2,73.5,10.1,30.2,40.3,20.4,6.5,6.1,14.9,20.7
Milwaukee Bucks,50,91.7,35.1,76.4,45.9,4.6,12.4,37.3,16.9,23.1,73.3,11.4,27.4,38.8,20.6,8.8,4.0,14.4,22.8
Minnesota Timberwolves,50,92.9,36.8,86.5,42.5,2.4,8.2,29.8,17.0,22.9,74.3,15.1,27.8,42.9,24.4,8.5,5.4,12.8,23.7
New Jersey Nets,50,91.4,33.8,83.2,40.6,4.5,13.6,33.1,19.2,25.0,76.9,14.3,28.7,43.0,18.5,9.8,5.5,15.0,22.7
New York Knicks,50,86.4,32.2,74.1,43.5,4.2,11.8,35.3,17.8,24.4,73.2,11.0,30.2,41.2,19.3,7.9,5.2,16.1,22.8
Orlando Magic,50,89.5,33.7,78.9,42.8,4.5,13.5,33.0,17.5,25.0,70.0,13.8,28.9,42.7,21.3,9.9,4.3,16.4,18.7
Philadelphia 76ers,50,89.7,33.1,77.7,42.6,2.0,7.4,26.4,21.5,29.7,72.2,14.6,28.6,43.1,18.7,10.8,5.4,16.4,23.0
Phoenix Suns,50,95.6,35.9,80.1,44.9,5.2,14.0,37.2,18.5,24.3,76.0,12.0,28.4,40.3,25.0,8.9,4.0,13.6,20.4
Portland Trail Blazers,50,94.8,34.9,79.1,44.2,4.9,13.5,36.4,20.0,27.0,74.3,12.9,31.4,44.3,21.5,8.2,5.8,15.4,22.5
Sacramento Kings,50,100.2,38.4,86.1,44.5,5.8,18.9,30.8,17.7,25.9,68.3,14.1,31.5,45.6,22.6,8.9,4.6,16.8,20.3
San Antonio Spurs,50,92.8,34.8,76.2,45.6,3.4,10.4,33.0,19.8,28.3,69.8,12.3,31.7,44.0,22.0,8.4,7.0,15.2,20.2
Seattle SuperSonics,50,94.9,35.1,79.5,44.2,6.2,18.0,34.4,18.4,27.1,68.1,13.5,28.4,42.0,21.7,7.9,4.0,15.3,20.9
Toronto Raptors,50,91.1,33.2,78.8,42.1,4.5,13.2,34.1,20.2,26.6,76.0,14.2,28.9,43.2,20.7,8.8,6.4,16.0,22.8
Utah Jazz,50,93.3,33.7,72.4,46.5,2.8,7.8,36.1,23.2,30.2,76.7,11.1,30.2,41.3,24.1,8.0,5.5,16.3,22.7
Vancouver Grizzlies,50,88.9,32.9,76.8,42.8,3.0,9.1,32.7,20.2,28.2,71.7,13.0,27.2,40.2,19.3,8.4,4.0,17.0,22.5
Washington Wizards,50,91.2,35.4,79.4,44.5,3.6,11.6,30.9,16.9,24.0,70.5,11.9,28.1,40.0,21.3,7.9,3.9,14.7,23.0
