Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Atlanta Hawks,82,94.8,34.3,76.9,44.6,8.0,22.4,35.9,18.2,23.8,76.3,12.5,28.7,41.1,19.0,8.5,5.2,15.0,19.4
Boston Celtics,82,100.6,37.4,85.0,44.0,5.7,16.2,35.1,20.1,26.8,75.0,13.4,26.7,40.0,21.9,9.9,3.8,16.4,23.4
Charlotte Hornets,82,98.9,36.4,77.3,47.1,7.2,16.9,42.8,18.8,24.2,77.7,11.1,28.0,39.1,24.6,7.3,4.3,14.7,20.8
Chicago Bulls,82,103.1,40.0,84.4,47.3,6.4,17.1,37.3,16.8,22.5,74.7,15.1,30.0,45.1,26.1,8.7,4.0,13.5,19.7
Cleveland Cavaliers,82,87.5,33.0,72.8,45.3,5.9,15.7,37.6,15.6,21.6,72.3,11.1,26.3,37.4,20.9,8.0,3.8,14.5,23.0
Dallas Mavericks,82,90.6,34.3,78.7,43.6,5.2,16.0,32.7,16.8,23.4,71.7,12.7,27.6,40.3,20.3,8.0,4.3,16.1,21.9
Denver Nuggets,82,97.8,35.8,81.5,43.9,7.8,20.9,37.2,18.5,24.3,76.1,12.1,29.9,42.0,23.0,6.1,5.9,16.6,21.8
Detroit Pistons,82,94.2,34.5,74.3,46.4,7.1,18.3,38.8,18.1,24.3,74.5,10.5,28.0,38.4,19.0,7.7,3.5,12.7,20.1
Golden State Warriors,82,99.6,36.5,80.1,45.6,5.9,16.6,35.3,20.7,26.6,77.8,13.2,27.5,40.8,22.2,7.5,4.4,17.2,21.8
Houston Rockets,82,100.6,37.0,79.1,46.8,8.2,22.4,36.5,18.3,24.3,75.5,11.3,31.3,42.6,24.5,8.4,4.2,16.6,19.6
Indiana Pacers,82,95.4,34.8,76.3,45.6,5.2,13.8,38.1,20.6,28.5,72.2,12.5,29.1,41.7,21.3,7.1,4.8,16.3,24.1
Los Angeles Clippers,82,97.2,36.5,81.7,44.6,5.8,16.3,35.4,18.5,25.3,73.1,13.3,27.3,40.7,20.3,8.9,5.4,16.0,24.0
Los Angeles Lakers,82,100.0,36.8,81.0,45.4,6.7,18.3,36.7,19.7,28.4,69.2,13.3,29.4,42.8,22.5,9.0,7.0,14.9,22.2
Miami Heat,82,94.8,34.4,76.0,45.3,8.3,22.7,36.4,17.7,24.7,71.9,11.7,29.3,41.0,21.2,7.9,5.4,15.9,23.4
Milwaukee Bucks,82,95.3,36.2,76.9,47.1,4.0,11.2,35.2,19.0,25.7,74.1,11.6,27.6,39.2,19.6,7.7,4.2,15.7,23.1
Minnesota Timberwolves,82,96.1,35.8,78.5,45.6,4.5,13.3,33.9,20.0,26.6,75.1,11.7,28.1,39.7,22.9,7.5,6.8,15.2,22.2
New Jersey Nets,82,97.2,36.5,86.5,42.2,5.9,16.7,35.3,18.3,24.8,74.0,17.2,29.0,46.2,21.0,8.3,5.9,15.7,22.7
New York Knicks,82,95.4,35.1,75.9,46.3,5.7,15.8,36.3,19.3,25.8,74.8,11.9,30.7,42.5,22.1,7.7,4.6,17.8,24.8
Orlando Magic,82,94.1,34.6,79.2,43.7,6.9,20.3,34.1,18.0,24.1,74.6,13.1,27.1,40.1,20.6,8.5,4.4,15.2,20.0
Philadelphia 76ers,82,100.2,36.6,83.5,43.8,5.3,16.5,31.9,21.7,29.9,72.5,15.5,28.7,44.2,20.7,8.3,4.8,17.5,21.1
Phoenix Suns,82,102.8,38.3,81.8,46.9,6.4,17.4,36.9,19.7,25.9,76.1,11.2,29.0,40.1,25.2,8.1,3.9,14.4,21.1
Portland Trail Blazers,82,99.0,36.6,78.8,46.4,6.1,17.1,35.8,19.7,27.6,71.3,12.9,30.4,43.3,20.9,7.8,5.3,16.5,23.5
Sacramento Kings,82,96.4,36.6,80.6,45.4,5.0,12.9,39.1,18.2,25.2,72.3,13.4,28.1,41.5,21.9,7.2,4.4,16.2,23.7
San Antonio Spurs,82,90.5,34.5,77.9,44.2,4.6,14.4,32.0,16.9,23.5,71.9,13.4,26.0,39.4,20.3,7.9,5.3,15.2,21.5
Seattle SuperSonics,82,100.9,36.5,78.2,46.7,6.8,19.3,35.3,21.0,28.0,75.2,12.3,27.7,40.0,23.5,11.0,4.7,15.0,22.0
Toronto Raptors,82,95.5,35.3,80.9,43.7,7.2,19.8,36.3,17.6,24.5,72.0,13.8,27.5,41.3,20.9,8.8,6.3,16.4,23.0
Utah Jazz,82,103.1,38.2,75.8,50.4,4.1,11.0,37.0,22.7,29.5,76.9,10.8,29.4,40.2,26.8,9.1,5.1,15.4,24.2
Vancouver Grizzlies,82,89.2,34.4,78.7,43.7,5.4,15.5,34.9,15.0,21.1,70.9,12.5,26.3,38.8,22.7,8.0,5.7,15.9,21.4
Washington Bullets,82,99.4,39.1,81.4,48.0,4.0,12.2,33.1,17.1,24.1,70.7,12.3,29.5,41.8,23.4,8.7,4.9,15.7,22.1
