Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Atlanta Hawks,78,118.6,43.6,91.8,47.5,14.6,39.4,37.1,16.8,21.6,77.7,10.8,32.6,43.4,30.3,9.5,4.7,13.4,19.7
Boston Celtics,78,114.6,42.1,90.3,46.7,15.2,41.8,36.4,15.1,18.8,80.4,12.6,33.9,46.5,24.6,7.1,5.1,11.4,19.0
Brooklyn Nets,78,106.2,37.5,84.5,44.4,13.2,38.6,34.2,18.0,23.1,78.0,10.4,29.0,39.4,25.2,8.0,4.3,15.2,21.2
Charlotte Hornets,79,116.5,41.1,89.0,46.2,16.4,43.1,38.1,17.9,21.9,81.9,12.8,33.5,46.2,26.5,7.0,4.5,14.4,19.2
Chicago Bulls,78,116.1,42.3,90.2,46.9,14.4,40.2,35.9,17.2,22.1,77.5,10.3,34.7,45.0,28.4,7.4,5.0,14.6,18.9
Cleveland Cavaliers,78,119.3,43.3,90.1,48.0,14.4,40.1,36.0,18.4,23.7,77.5,11.7,32.6,44.3,28.3,8.5,5.0,13.2,19.8
Dallas Mavericks,77,113.6,41.8,89.5,46.7,10.8,31.5,34.2,19.2,25.7,74.8,10.4,34.3,44.7,25.2,7.5,5.1,14.4,18.3
Denver Nuggets,78,121.6,43.2,87.3,49.4,14.1,35.7,39.6,21.1,26.1,80.7,9.6,34.1,43.6,28.8,6.8,3.9,12.2,19.2
Detroit Pistons,78,117.5,43.3,89.7,48.3,10.9,30.9,35.4,20.0,26.2,76.1,13.1,32.5,45.6,27.5,10.4,6.3,14.1,22.1
Golden State Warriors,78,114.8,41.1,89.1,46.1,15.8,44.5,35.6,16.8,21.0,80.3,11.3,31.2,42.5,29.0,9.8,4.3,15.0,19.8
Houston Rockets,78,114.8,42.8,89.4,47.8,11.5,31.3,36.7,17.8,23.3,76.3,14.9,33.0,47.9,25.4,8.6,5.8,14.4,18.3
Indiana Pacers,78,112.5,40.8,89.2,45.8,13.4,37.5,35.7,17.5,22.5,77.5,9.9,31.9,41.7,27.5,7.3,4.5,13.7,21.1
LA Clippers,78,114.0,40.6,83.4,48.6,12.4,33.6,36.7,20.5,24.9,82.4,9.5,31.0,40.5,23.8,9.2,4.9,13.6,18.7
Los Angeles Lakers,77,116.5,42.0,83.9,50.1,11.9,33.3,35.6,20.7,26.9,76.7,9.5,31.5,41.0,25.4,8.4,4.4,13.9,18.6
Memphis Grizzlies,78,114.8,41.3,90.3,45.8,13.7,38.9,35.3,18.4,23.3,79.3,11.3,31.0,42.3,27.9,8.9,4.9,14.7,20.4
Miami Heat,78,120.8,43.5,93.5,46.6,13.6,37.9,36.0,20.1,25.3,79.2,11.9,34.6,46.6,28.7,8.8,4.3,13.1,18.9
Milwaukee Bucks,78,110.8,40.9,85.6,47.8,15.0,38.7,38.8,14.0,19.1,73.1,8.8,31.9,40.7,25.7,7.5,3.9,14.4,19.8
Minnesota Timberwolves,78,117.5,42.4,88.5,47.9,13.7,37.1,36.9,19.0,25.3,75.0,11.1,33.4,44.5,26.0,8.7,5.7,14.2,21.1
New Orleans Pelicans,79,114.8,41.8,90.0,46.5,11.2,32.3,34.8,20.0,25.5,78.3,12.1,31.6,43.7,25.1,8.8,5.2,13.5,19.9
New York Knicks,78,116.9,42.8,89.7,47.7,14.4,38.4,37.4,17.1,21.5,79.4,12.9,33.1,46.0,27.5,8.1,4.0,13.0,20.1
Oklahoma City Thunder,78,119.2,43.1,89.0,48.4,13.7,37.8,36.3,19.4,23.7,82.0,9.5,34.6,44.2,25.6,9.6,5.5,12.0,19.1
Orlando Magic,78,115.4,40.8,88.2,46.3,11.7,34.2,34.3,22.0,27.4,80.4,10.9,32.4,43.3,26.4,8.4,4.6,13.6,21.0
Philadelphia 76ers,78,116.2,41.8,90.2,46.3,12.4,35.4,35.1,20.2,24.9,81.1,11.7,31.6,43.3,24.8,9.1,5.8,13.0,20.4
Phoenix Suns,78,112.9,41.1,90.3,45.5,14.9,41.0,36.3,15.8,20.3,78.0,13.0,30.0,43.0,24.9,9.7,4.1,13.4,20.9
Portland Trail Blazers,78,115.4,40.8,90.0,45.3,14.4,42.2,34.1,19.4,25.4,76.4,14.1,32.0,46.1,25.1,8.2,5.5,16.6,20.0
Sacramento Kings,79,110.9,41.6,89.1,46.7,10.2,30.1,34.0,17.5,22.6,77.3,11.4,30.8,42.1,25.6,8.0,4.5,13.7,19.7
San Antonio Spurs,78,119.8,43.3,89.8,48.3,13.7,38.1,35.9,19.4,24.7,78.5,11.4,35.7,47.1,28.0,7.5,5.4,12.7,18.9
Toronto Raptors,78,114.4,42.5,88.6,48.0,11.3,32.3,35.1,18.0,23.4,77.1,11.0,31.0,42.1,29.5,8.8,4.9,13.0,20.9
Utah Jazz,79,117.1,42.2,90.6,46.5,12.7,36.8,34.6,20.0,25.4,78.9,12.0,31.7,43.6,29.4,8.7,3.8,15.0,21.4
Washington Wizards,78,113.1,41.9,90.3,46.3,13.0,36.3,35.9,16.3,21.2,76.7,11.0,31.1,42.1,25.0,7.9,5.6,15.1,21.5
