Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Atlanta Hawks,82,101.4,39.6,85.8,46.1,3.3,10.1,32.3,19.0,25.2,75.2,15.2,29.5,44.8,25.1,11.2,5.5,15.3,19.8
Boston Celtics,82,100.8,40.6,86.1,47.2,1.7,5.8,28.9,17.8,24.4,73.0,12.6,29.0,41.7,23.5,8.2,5.4,15.1,22.5
Charlotte Hornets,82,106.5,41.2,86.6,47.6,4.1,11.2,36.7,19.9,26.0,76.4,12.4,30.2,42.6,27.0,8.8,4.8,15.4,21.3
Chicago Bulls,82,98.0,39.6,83.1,47.6,2.8,8.0,35.4,16.0,22.7,70.5,13.9,29.2,43.1,25.6,9.0,4.3,15.9,21.3
Cleveland Cavaliers,82,101.2,38.2,82.1,46.5,3.6,9.9,36.2,21.2,27.5,77.0,13.3,28.7,42.0,25.0,8.6,5.2,13.9,20.7
Dallas Mavericks,82,95.1,37.3,86.2,43.2,2.9,9.4,31.2,17.7,23.7,74.7,15.5,26.2,41.7,19.9,9.4,3.6,17.0,24.5
Denver Nuggets,82,100.3,38.5,82.7,46.5,2.1,7.3,28.5,21.2,29.5,71.8,13.5,31.2,44.7,21.5,8.3,8.4,17.3,23.5
Detroit Pistons,82,96.9,38.6,85.6,45.2,4.4,12.7,34.4,15.3,20.9,73.1,12.5,28.3,40.8,21.5,7.3,3.8,15.1,23.6
Golden State Warriors,82,107.9,42.8,87.1,49.2,3.5,10.5,33.9,18.6,28.1,66.4,14.4,29.2,43.6,26.8,9.8,6.2,17.5,21.8
Houston Rockets,82,101.1,39.0,82.1,47.5,5.2,15.7,33.4,17.9,24.1,74.3,11.3,31.9,43.2,25.5,8.7,5.9,16.3,20.1
Indiana Pacers,82,101.0,38.6,79.5,48.6,2.2,6.1,36.8,21.5,29.1,73.8,13.8,29.4,43.2,25.1,8.6,5.6,17.6,24.1
Los Angeles Clippers,82,103.0,40.8,87.4,46.7,3.1,10.1,30.3,18.4,26.0,70.9,13.7,29.4,43.0,26.5,9.8,5.1,18.0,21.6
Los Angeles Lakers,82,100.4,40.1,89.2,45.0,2.9,9.8,30.0,17.2,24.0,71.7,15.4,26.9,42.2,24.2,9.2,5.6,14.6,22.9
Miami Heat,82,103.4,39.0,84.1,46.4,4.1,12.2,33.8,21.3,27.1,78.5,15.1,29.4,44.4,22.6,7.8,4.6,16.0,24.7
Milwaukee Bucks,82,96.9,37.1,83.0,44.7,4.0,12.4,32.5,18.7,26.6,70.2,13.7,26.3,40.0,23.7,9.8,5.0,16.4,22.2
Minnesota Timberwolves,82,96.7,36.4,79.7,45.7,2.2,6.8,32.9,21.7,28.1,77.2,12.1,28.6,40.6,24.0,7.3,5.4,18.0,24.6
New Jersey Nets,82,103.2,38.6,86.8,44.5,2.7,8.3,32.7,23.2,30.4,76.2,15.9,31.2,47.0,23.2,8.5,7.0,14.6,20.6
New York Knicks,82,98.5,37.8,82.1,46.0,3.9,11.1,34.8,19.1,25.6,74.6,14.3,31.0,45.3,25.2,9.2,4.7,16.6,24.4
Orlando Magic,82,105.7,40.7,83.9,48.5,4.8,13.9,34.7,19.4,28.6,67.8,14.4,28.7,43.1,25.2,8.3,5.6,16.2,20.9
Philadelphia 76ers,82,98.0,37.8,83.2,45.5,3.9,11.5,33.8,18.4,25.8,71.4,12.3,29.2,41.5,22.3,8.1,6.4,16.7,18.1
Phoenix Suns,82,108.2,41.8,86.3,48.4,4.2,12.7,33.0,20.4,28.1,72.8,14.9,29.9,44.8,27.6,9.1,5.6,15.9,20.0
Portland Trail Blazers,82,107.3,41.1,90.6,45.4,3.3,9.4,35.3,21.7,29.2,74.3,15.9,30.0,45.9,25.2,9.1,5.0,14.8,22.3
Sacramento Kings,82,101.1,38.8,85.7,45.2,3.1,8.9,35.3,20.4,28.0,73.1,13.7,28.6,42.3,24.7,8.2,4.3,16.3,24.1
San Antonio Spurs,82,100.0,38.8,81.6,47.5,3.0,8.7,34.9,19.5,26.2,74.2,14.5,31.7,46.2,23.1,6.8,5.5,14.6,20.3
Seattle SuperSonics,82,105.9,40.7,84.2,48.4,3.0,8.8,33.5,21.6,29.0,74.5,14.0,27.2,41.2,25.8,12.8,4.5,15.4,23.3
Utah Jazz,82,101.9,39.1,82.1,47.7,2.2,6.8,32.0,21.5,29.0,74.0,12.9,29.1,42.0,26.6,9.2,4.4,14.5,24.2
Washington Bullets,82,100.4,39.0,83.2,46.8,2.7,9.1,29.7,19.7,26.4,74.8,13.1,26.7,39.8,22.2,8.5,3.9,17.1,20.9
