Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Atlanta Hawks,82,91.0,35.1,81.3,43.1,4.1,11.4,35.7,16.8,22.1,75.9,12.5,30.4,42.9,19.0,7.7,4.7,16.7,22.7
Boston Celtics,82,94.6,33.8,79.1,42.8,7.2,19.9,36.3,19.8,26.7,74.0,10.9,28.9,39.8,20.8,9.4,4.1,15.7,23.8
Charlotte Hornets,82,91.9,34.1,79.3,43.1,4.1,12.0,34.6,19.5,26.2,74.5,12.6,31.8,44.4,23.2,8.1,5.5,14.4,21.4
Chicago Bulls,82,87.6,33.2,78.2,42.4,4.0,11.6,34.6,17.2,23.3,73.9,11.3,27.6,38.9,22.1,8.2,4.6,15.8,23.2
Cleveland Cavaliers,82,92.2,35.2,79.7,44.2,2.7,8.0,33.4,19.0,24.9,76.5,12.4,29.8,42.1,20.8,7.8,5.3,16.5,23.2
Dallas Mavericks,82,100.5,37.6,81.9,45.9,6.3,16.5,38.1,18.9,23.8,79.4,10.1,31.4,41.5,21.2,7.5,6.0,13.9,23.3
Denver Nuggets,82,96.6,36.3,83.9,43.3,6.2,17.6,35.5,17.7,24.0,73.7,12.7,31.5,44.2,24.0,6.7,6.6,13.9,22.2
Detroit Pistons,82,95.6,35.6,83.9,42.4,4.7,13.6,35.0,19.6,27.2,72.1,13.5,32.0,45.5,19.9,7.5,5.5,15.9,23.8
Golden State Warriors,82,92.5,35.8,87.5,40.9,3.4,11.8,29.3,17.4,24.7,70.6,16.4,29.1,45.5,21.8,9.0,5.0,15.9,21.1
Houston Rockets,82,97.2,35.9,79.2,45.3,6.1,17.2,35.7,19.3,25.4,75.8,11.2,30.8,42.0,19.7,7.2,4.4,14.7,20.2
Indiana Pacers,82,92.6,34.5,78.4,44.0,4.8,14.1,34.2,18.8,24.5,76.6,11.2,31.6,42.9,21.5,6.9,5.9,15.2,23.5
Los Angeles Clippers,82,92.5,35.3,78.9,44.8,4.4,13.0,33.9,17.4,25.1,69.3,11.7,31.2,42.9,19.3,6.0,6.3,15.8,21.6
Los Angeles Lakers,82,100.6,37.9,81.5,46.5,5.4,15.5,34.4,19.4,28.5,68.3,13.2,31.5,44.7,23.0,6.9,6.0,14.4,22.8
Miami Heat,82,88.9,32.9,76.3,43.0,5.8,16.9,34.5,17.4,22.9,75.9,9.9,29.7,39.6,19.9,7.7,3.7,13.7,21.0
Milwaukee Bucks,82,100.7,38.0,82.9,45.8,6.9,18.1,37.9,18.0,22.9,78.7,11.9,30.5,42.4,22.5,8.2,4.7,13.7,23.5
Minnesota Timberwolves,82,97.3,38.4,83.8,45.8,3.9,11.0,35.7,16.6,21.2,78.5,12.2,30.1,42.3,25.4,8.3,5.6,13.9,23.2
New Jersey Nets,82,92.1,33.9,79.9,42.5,4.4,13.2,33.3,19.9,26.2,75.9,11.1,28.5,39.6,19.5,7.9,5.0,14.7,24.2
New York Knicks,82,88.7,33.6,75.6,44.5,4.8,13.6,35.1,16.8,21.1,79.6,9.4,30.8,40.2,18.5,6.6,4.2,14.5,22.7
Orlando Magic,82,97.5,36.7,83.8,43.8,6.0,16.4,36.4,18.0,25.2,71.4,13.0,29.9,42.9,22.0,8.2,5.9,15.2,25.3
Philadelphia 76ers,82,94.7,35.4,79.1,44.7,3.2,9.8,32.6,20.7,27.8,74.5,13.1,31.7,44.8,20.6,8.4,5.0,15.8,20.4
Phoenix Suns,82,94.0,35.9,82.4,43.6,4.0,12.9,31.5,18.2,24.1,75.5,11.8,30.8,42.7,23.2,9.5,5.2,15.2,22.7
Portland Trail Blazers,82,95.4,36.6,78.3,46.8,4.5,12.9,34.9,17.6,23.2,76.2,11.7,30.3,42.0,23.9,8.2,5.1,15.3,21.3
Sacramento Kings,82,101.7,38.2,85.0,44.9,5.8,16.5,35.4,19.5,25.3,77.1,12.0,33.0,45.0,22.6,9.7,5.3,14.9,19.5
San Antonio Spurs,82,96.2,35.2,76.4,46.1,5.4,13.3,40.7,20.4,28.5,71.5,11.0,33.1,44.1,21.7,6.9,7.0,14.0,18.9
Seattle SuperSonics,82,97.3,36.9,81.1,45.6,5.7,14.3,39.9,17.7,24.2,73.2,12.2,29.5,41.7,21.9,8.0,5.0,15.3,21.1
Toronto Raptors,82,97.6,37.2,85.0,43.7,5.2,14.2,36.9,18.1,24.2,74.7,13.6,30.8,44.5,24.4,7.3,6.3,13.2,21.3
Utah Jazz,82,97.1,36.1,76.7,47.1,4.0,10.4,38.1,20.9,27.8,75.2,11.5,29.1,40.6,25.7,8.1,5.6,15.8,25.7
Vancouver Grizzlies,82,91.7,35.0,79.7,43.9,4.0,11.5,34.3,17.8,23.1,77.0,10.9,29.6,40.5,23.2,7.1,4.4,15.7,21.1
Washington Wizards,82,93.2,34.5,78.7,43.9,3.4,10.3,32.4,20.8,27.4,75.9,12.4,28.9,41.3,20.1,7.7,4.7,17.0,23.3
