Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Buffalo Bandits,18,231,374,605,222,0,0,0,1286,331,167,0,0
Calgary Roughnecks,18,204,332,536,216,0,0,0,1252,400,176,0,0
Colorado Mammoth,18,153,249,402,116,0,0,0,1120,327,195,0,0
Georgia Swarm,18,230,364,594,201,0,0,0,1170,319,156,0,0
New England Black Wolves,18,229,363,592,269,0,0,0,1276,375,190,0,0
Philadelphia Wings,18,231,356,587,241,0,0,0,1330,326,165,0,0
Rochester Knighthawks,18,233,328,561,304,0,0,0,1547,450,164,0,0
San Diego Seals,18,208,329,537,220,0,0,0,1294,343,180,0,0
Saskatchewan Rush,18,221,349,570,209,0,0,0,1306,353,221,0,0
Toronto Rock,18,213,316,529,177,0,0,0,1307,283,182,0,0
Vancouver Warriors,18,179,270,449,269,0,0,0,1188,342,148,0,0
