Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Buffalo Bandits,11,127,181,308,161,0,0,0,829,180,110,0,0
Calgary Roughnecks,10,112,167,279,153,0,0,0,694,188,79,0,0
Colorado Mammoth,13,125,201,326,136,0,0,0,884,287,84,0,0
Georgia Swarm,12,149,253,402,109,0,0,0,1002,233,123,0,0
Halifax Thunderbirds,12,139,211,350,195,0,0,0,1025,237,95,0,0
New England Black Wolves,11,138,207,345,138,0,0,0,894,263,95,0,0
New York Riptide,13,125,200,325,139,0,0,0,974,243,109,0,0
Philadelphia Wings,14,151,233,384,171,0,0,0,1004,280,90,0,0
Rochester Knighthawks,12,120,210,330,195,0,0,0,898,252,94,0,0
San Diego Seals,12,138,222,360,145,0,0,0,926,185,89,0,0
Saskatchewan Rush,10,111,169,280,81,0,0,0,822,216,122,0,0
Toronto Rock,11,121,188,309,133,0,0,0,784,179,102,0,0
Vancouver Warriors,13,117,189,306,198,0,0,0,981,245,108,0,0
