Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Buffalo Bandits,16,185,310,495,181,28,51,8,1115,377,118,134,873
Calgary Roughnecks,16,169,264,433,184,27,44,4,1063,334,101,87,845
Colorado Mammoth,16,185,298,483,198,32,55,8,1073,337,112,88,820
Georgia Swarm,15,152,239,391,131,25,43,6,1019,337,159,72,724
Halifax Thunderbirds,16,153,243,396,226,26,42,11,1014,345,98,65,739
Las Vegas Desert Dogs,16,184,288,472,157,24,40,5,1070,300,119,64,767
Oshawa Fire Wolves,16,186,286,472,263,34,43,7,1250,392,146,100,973
Ottawa Black Bears,16,174,278,452,168,34,59,7,1119,351,134,62,841
Philadelphia Wings,16,117,180,297,176,18,27,5,927,307,104,76,586
Rochester Knighthawks,15,188,307,495,223,35,64,4,1148,304,108,100,895
San Diego Seals,15,146,233,379,185,28,49,3,1102,305,133,78,814
Saskatchewan Rush,16,185,294,479,149,37,57,10,1207,336,137,93,820
Toronto Rock,16,177,283,460,166,22,40,4,1208,363,177,91,814
Vancouver Warriors,16,175,284,459,232,33,56,12,938,388,103,110,713
