Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Albany Attack,16,209,257,466,405,0,0,0,1165,0,0,0,0
Buffalo Bandits,16,225,284,509,483,0,0,0,1518,0,0,0,0
Calgary Roughnecks,16,209,254,463,334,0,0,0,1172,0,0,0,0
Colorado Mammoth,16,225,294,519,350,0,0,0,1282,0,0,0,0
Columbus Landsharks,16,184,221,405,261,0,0,0,1281,0,0,0,0
New Jersey Storm,16,203,194,397,239,0,0,0,1291,0,0,0,0
New York Saints,16,176,227,403,325,0,0,0,1182,0,0,0,0
Ottawa Rebel,16,192,225,417,270,0,0,0,1141,0,0,0,0
Philadelphia Wings,16,187,228,415,374,0,0,0,1110,0,0,0,0
Rochester Knighthawks,16,214,301,515,336,0,0,0,1294,0,0,0,0
Toronto Rock,16,195,266,461,280,0,0,0,1192,0,0,0,0
