Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Anaheim Storm,16,173,237,410,266,0,0,0,1018,0,0,0,0
Arizona Sting,16,200,289,489,278,0,0,0,874,0,0,0,0
Buffalo Bandits,16,202,258,460,438,0,0,0,1216,0,0,0,0
Calgary Roughnecks,16,214,280,494,355,0,0,0,877,0,0,0,0
Colorado Mammoth,16,222,317,539,274,0,0,0,1074,0,0,0,0
Philadelphia Wings,16,192,274,466,370,0,0,0,1132,0,0,0,0
Rochester Knighthawks,16,173,255,428,327,0,0,0,1210,0,0,0,0
San Jose Stealth,16,207,255,462,388,0,0,0,1042,0,0,0,0
Toronto Rock,16,202,310,512,304,0,0,0,1110,0,0,0,0
