Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Baltimore Thunder,12,211,250,461,239,0,0,0,945,0,0,0,0
Buffalo Bandits,12,114,193,307,223,0,0,0,899,0,0,0,0
New York Saints,12,139,198,337,178,0,0,0,727,0,0,0,0
Philadelphia Wings,12,153,222,375,257,0,0,0,834,0,0,0,0
Rochester Knighthawks,12,191,284,475,238,0,0,0,896,0,0,0,0
Syracuse Smash,13,193,282,475,230,0,0,0,1003,0,0,0,0
Toronto Rock,12,157,215,372,310,0,0,0,978,0,0,0,0
