Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Arizona Sting,30,221,360,581,295,0,0,0,1364,0,0,0,0
Buffalo Bandits,16,178,269,447,366,0,0,0,1203,0,0,0,0
Calgary Roughnecks,16,181,282,463,336,0,0,0,1185,0,0,0,0
Colorado Mammoth,16,194,281,475,385,0,0,0,1145,0,0,0,0
Edmonton Rush,16,151,226,377,346,0,0,0,1034,0,0,0,0
Minnesota Swarm,16,160,267,427,291,0,0,0,1022,0,0,0,0
Philadelphia Wings,16,170,278,448,333,0,0,0,1111,0,0,0,0
Portland Lumber Jax,16,189,280,469,340,0,0,0,1206,0,0,0,0
Rochester Knighthawks,16,202,288,490,355,0,0,0,1162,0,0,0,0
San Jose Stealth,17,161,233,394,279,0,0,0,1074,0,0,0,0
Toronto Rock,16,181,318,499,356,0,0,0,1208,0,0,0,0
