Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Buffalo Bandits,16,183,288,471,454,0,0,0,1037,0,0,0,0
Calgary Roughnecks,17,213,303,516,263,0,0,0,1235,0,0,0,0
Chicago Shamrox,16,185,282,467,317,0,0,0,1070,0,0,0,0
Colorado Mammoth,16,178,291,469,291,0,0,0,1118,0,0,0,0
Edmonton Rush,19,182,283,465,338,0,0,0,1293,0,0,0,0
Minnesota Swarm,16,195,307,502,388,0,0,0,1080,0,0,0,0
New York Titans,16,197,301,498,347,0,0,0,1208,0,0,0,0
Philadelphia Wings,16,212,303,515,406,0,0,0,1451,0,0,0,0
Portland Lumber Jax,16,178,262,440,262,0,0,0,1071,0,0,0,0
Rochester Knighthawks,16,197,317,514,351,0,0,0,1214,0,0,0,0
San Jose Stealth,23,193,312,505,439,0,0,0,1107,0,0,0,0
Toronto Rock,16,136,215,351,321,0,0,0,1095,0,0,0,0
