Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Albany Attack,14,157,215,372,359,0,0,0,1283,0,0,0,0
Buffalo Bandits,14,247,304,551,271,0,0,0,1318,0,0,0,0
Columbus Landsharks,14,110,133,243,313,0,0,0,1166,0,0,0,0
New York Saints,14,177,192,369,337,0,0,0,1048,0,0,0,0
Ottawa Rebel,16,144,183,327,357,0,0,0,1011,0,0,0,0
Philadelphia Wings,14,205,304,509,313,0,0,0,1099,0,0,0,0
Rochester Knighthawks,14,194,268,462,393,0,0,0,1089,0,0,0,0
Toronto Rock,14,168,213,381,359,0,0,0,1202,0,0,0,0
Washington DCPower,14,226,281,507,409,0,0,0,1031,0,0,0,0
