Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Buffalo Bandits,18,192,298,490,253,0,0,0,1317,249,212,0,0
Calgary Roughnecks,18,227,345,572,270,0,0,0,1349,381,175,0,0
Colorado Mammoth,18,214,327,541,158,0,0,0,1227,361,200,0,0
Georgia Swarm,18,222,345,567,195,0,0,0,1199,308,154,0,0
New England Black Wolves,19,245,370,615,275,0,0,0,1477,414,181,0,0
Rochester Knighthawks,18,236,359,595,232,0,0,0,1364,387,137,0,0
Saskatchewan Rush,18,253,384,637,160,0,0,0,1315,363,214,0,0
Toronto Rock,18,226,319,545,270,0,0,0,1313,311,182,0,0
Vancouver Stealth,18,191,293,484,314,0,0,0,1181,469,153,0,0
