Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Buffalo Bandits,18,190,296,486,329,0,0,0,1274,383,167,0,0
Calgary Roughnecks,18,237,365,602,257,0,0,0,1084,412,169,0,0
Colorado Mammoth,18,200,307,507,250,0,0,0,1048,372,201,0,0
Edmonton Rush,18,220,325,545,241,0,0,0,1201,364,275,0,0
Minnesota Swarm,18,180,270,450,252,0,0,0,1289,341,252,0,0
Philadelphia Wings,18,205,330,535,223,0,0,0,1290,360,170,0,0
Rochester Knighthawks,18,210,335,545,326,0,0,0,1165,325,171,0,0
Toronto Rock,18,216,339,555,345,0,0,0,1160,306,130,0,0
Vancouver Stealth,19,182,297,479,379,0,0,0,1148,393,245,0,0
