Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Buffalo Bandits,18,249,405,654,309,30,54,7,1416,392,159,159,1020
Calgary Roughnecks,18,218,356,574,240,50,81,4,1240,421,135,107,911
Colorado Mammoth,18,195,331,526,249,25,40,7,1261,402,169,107,863
Georgia Swarm,18,214,335,549,159,32,53,8,1205,381,151,104,925
Halifax Thunderbirds,18,239,375,614,281,36,64,13,1417,378,148,110,1055
Las Vegas Desert Dogs,18,211,334,545,251,39,68,8,1015,400,141,69,956
Oshawa Fire Wolves,18,202,314,516,224,41,66,11,1362,385,126,109,964
Ottawa Black Bears,18,181,278,459,251,36,51,5,1207,419,119,82,846
Philadelphia Wings,18,201,332,533,314,31,52,8,1361,416,155,97,859
Rochester Knighthawks,18,227,355,582,237,42,68,6,1351,348,164,147,1040
San Diego Seals,19,200,302,502,248,33,60,9,1389,332,195,79,894
Saskatchewan Rush,18,213,331,544,140,39,64,7,1364,400,187,117,963
Toronto Rock,18,185,279,464,254,36,52,6,1174,344,164,94,889
Vancouver Warriors,18,186,278,464,234,28,38,11,1112,400,151,127,819
