Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Albany Attack,16,250,318,568,351,0,0,0,1268,0,0,0,0
Buffalo Bandits,16,159,232,391,214,0,0,0,1140,0,0,0,0
Calgary Roughnecks,16,186,269,455,245,0,0,0,838,0,0,0,0
Columbus Landsharks,16,202,211,413,252,0,0,0,1305,0,0,0,0
New Jersey Storm,16,190,186,376,304,0,0,0,1265,0,0,0,0
New York Saints,17,242,274,516,450,0,0,0,1402,0,0,0,0
Ottawa Rebel,17,202,264,466,417,0,0,0,1167,0,0,0,0
Philadelphia Wings,16,219,278,497,346,0,0,0,1220,0,0,0,0
Rochester Knighthawks,16,258,363,621,378,0,0,0,1432,0,0,0,0
Toronto Rock,16,223,298,521,354,0,0,0,1290,0,0,0,0
Washington DCPower,16,258,382,640,421,0,0,0,1539,0,0,0,0
