Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Buffalo Bandits,18,192,298,490,292,0,0,0,1168,328,195,0,0
Calgary Roughnecks,18,213,328,541,312,0,0,0,1172,435,192,0,0
Colorado Mammoth,18,201,322,523,178,0,0,0,1287,375,266,0,0
Georgia Swarm,18,266,425,691,229,0,0,0,1302,426,176,0,0
New England Black Wolves,18,240,358,598,319,0,0,0,1359,396,166,0,0
Rochester Knighthawks,18,189,263,452,286,0,0,0,1302,404,160,0,0
Saskatchewan Rush,18,231,343,574,259,0,0,0,1276,351,247,0,0
Toronto Rock,18,219,321,540,225,0,0,0,1425,337,180,0,0
Vancouver Stealth,18,218,347,565,290,0,0,0,1168,451,227,0,0
