Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Buffalo Bandits,18,235,376,611,258,36,59,9,1190,342,187,124,957
Calgary Roughnecks,18,198,305,503,177,30,46,7,1170,414,186,97,886
Colorado Mammoth,19,185,290,475,234,29,47,10,1214,391,162,121,851
Georgia Swarm,18,198,311,509,227,30,48,7,1248,341,184,120,869
Halifax Thunderbirds,18,228,354,582,349,43,68,7,1430,446,186,93,975
Las Vegas Desert Dogs,18,176,280,456,255,30,48,9,1160,363,160,121,868
New York Riptide,18,193,323,516,188,34,54,5,1166,334,159,123,797
Oshawa Fire Wolves,18,206,326,532,172,26,45,10,1324,337,135,80,967
Panther City Lacrosse Club,18,205,318,523,186,40,62,4,1203,347,158,87,934
Philadelphia Wings,18,191,324,515,181,42,68,8,1126,353,127,86,826
Rochester Knighthawks,18,234,366,600,155,38,66,5,1503,383,167,119,1146
San Diego Seals,18,218,349,567,198,48,78,7,1364,382,155,86,1029
Saskatchewan Rush,18,217,349,566,155,35,57,10,1241,386,206,91,882
Toronto Rock,18,218,340,558,187,39,68,5,1300,427,207,92,925
Vancouver Warriors,18,204,323,527,231,29,42,13,1227,423,202,121,892
