Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Buffalo Bandits,18,202,327,529,288,32,41,8,1180,385,157,78,895
Calgary Roughnecks,18,218,316,534,197,32,48,12,1146,414,205,89,831
Colorado Mammoth,18,180,287,467,260,38,58,6,1205,396,148,112,833
Georgia Swarm,18,218,365,583,172,40,72,8,1375,399,180,92,935
Halifax Thunderbirds,18,251,376,627,312,35,64,5,1557,444,171,63,1065
Las Vegas Desert Dogs,18,179,264,443,294,30,44,6,1150,390,159,108,805
New York Riptide,20,192,318,510,282,34,57,4,1148,433,151,109,836
Oshawa Fire Wolves,18,166,278,444,203,28,44,9,1080,376,156,59,839
Panther City Lacrosse Club,18,219,328,547,195,46,81,2,1247,455,150,74,961
Philadelphia Wings,19,214,351,565,178,37,55,4,1386,494,139,99,954
Rochester Knighthawks,18,218,343,561,158,26,42,6,1400,427,165,87,973
San Diego Seals,18,240,364,604,303,49,79,21,1387,370,231,73,953
Saskatchewan Rush,18,208,346,554,159,38,62,5,1295,414,195,97,931
Toronto Rock,18,234,350,584,260,26,43,12,1462,329,214,100,1048
Vancouver Warriors,18,176,276,452,279,35,58,5,1277,444,160,111,875
