Team,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG
Arizona Sting,25,190,329,519,309,0,0,0,1261,0,0,0,0
Buffalo Bandits,16,205,308,513,349,0,0,0,1101,0,0,0,0
Calgary Roughnecks,16,219,336,555,383,0,0,0,1205,0,0,0,0
Chicago Shamrox,16,179,278,457,383,0,0,0,1146,0,0,0,0
Colorado Mammoth,16,208,304,512,303,0,0,0,1181,0,0,0,0
Edmonton Rush,16,160,263,423,283,0,0,0,885,0,0,0,0
Minnesota Swarm,16,177,295,472,294,0,0,0,1002,0,0,0,0
New York Titans,18,195,325,520,327,0,0,0,1107,0,0,0,0
Philadelphia Wings,16,178,259,437,303,0,0,0,1336,0,0,0,0
Portland Lumber Jax,16,176,275,451,383,0,0,0,1163,0,0,0,0
Rochester Knighthawks,16,249,387,636,429,0,0,0,1290,0,0,0,0
San Jose Stealth,16,182,294,476,373,0,0,0,1138,0,0,0,0
Toronto Rock,16,186,291,477,269,0,0,0,1169,0,0,0,0
